qid,in_p17,in_p131,relation_group,has_kkwiki
Q16704394,1,1,P17+P131,1
Q4509462,1,1,P17+P131,1
Q16673299,1,1,P17+P131,1
Q31194285,1,0,P17_only,1
Q2559020,1,0,P17_only,1
Q55659298,1,0,P17_only,0
Q13662804,1,1,P17+P131,1
Q4452335,1,1,P17+P131,1
Q4340031,0,1,P131_only,1
Q12557072,1,1,P17+P131,1
Q32172005,1,0,P17_only,0
Q27357542,1,0,P17_only,0
Q27357120,1,0,P17_only,0
Q12573542,1,0,P17_only,1
Q12529614,1,0,P17_only,1
Q12569984,1,0,P17_only,1
Q12573674,1,0,P17_only,1
Q56366858,1,1,P17+P131,1
Q16701411,1,1,P17+P131,1
Q2474703,1,0,P17_only,1
Q30897557,1,1,P17+P131,0
Q138300235,1,0,P17_only,0
Q13640798,1,1,P17+P131,1
Q28669306,1,0,P17_only,0
Q128474736,1,0,P17_only,0
Q16661603,1,1,P17+P131,1
Q12534096,1,1,P17+P131,1
Q15617597,1,1,P17+P131,1
Q30892851,1,0,P17_only,0
Q12555943,1,1,P17+P131,1
Q13646564,1,1,P17+P131,1
Q20098181,1,1,P17+P131,1
Q16656150,1,1,P17+P131,1
Q27431005,1,1,P17+P131,0
Q4528867,1,1,P17+P131,1
Q12554143,1,1,P17+P131,1
Q32195440,1,0,P17_only,0
Q27354215,1,0,P17_only,1
Q32183942,1,0,P17_only,0
Q13661814,1,1,P17+P131,1
Q27430691,1,1,P17+P131,1
Q32213670,1,1,P17+P131,0
Q16661584,1,1,P17+P131,1
Q17562704,1,1,P17+P131,0
Q63980900,1,0,P17_only,1
Q16661859,1,0,P17_only,1
Q13423094,0,1,P131_only,1
Q12552706,1,1,P17+P131,1
Q4362539,1,1,P17+P131,0
Q55702321,1,0,P17_only,0
Q32200272,1,0,P17_only,0
Q4455559,1,1,P17+P131,1
Q116846700,1,0,P17_only,1
Q4277478,1,0,P17_only,0
Q12537187,1,0,P17_only,1
Q16432560,1,1,P17+P131,1
Q13365419,0,1,P131_only,1
Q108533917,1,0,P17_only,0
Q112128334,1,0,P17_only,0
Q32189865,1,0,P17_only,0
Q15410210,1,0,P17_only,0
Q27430737,1,0,P17_only,0
Q136090936,1,0,P17_only,0
Q131429197,1,0,P17_only,0
Q16431819,1,1,P17+P131,1
Q66717337,1,0,P17_only,0
Q27352091,1,0,P17_only,0
Q41216,1,1,P17+P131,1
Q86667426,1,0,P17_only,0
Q4057224,1,0,P17_only,1
Q122974912,1,1,P17+P131,0
Q129880771,1,0,P17_only,1
Q32189346,1,0,P17_only,0
Q13649433,1,1,P17+P131,1
Q32181321,1,0,P17_only,0
Q13640738,1,1,P17+P131,1
Q18398744,1,1,P17+P131,1
Q20466827,1,0,P17_only,0
Q25504592,1,0,P17_only,1
Q13646679,1,1,P17+P131,1
Q13414805,0,1,P131_only,1
Q1930015,1,0,P17_only,1
Q12529242,1,0,P17_only,1
Q12526530,1,0,P17_only,1
Q11903515,1,1,P17+P131,1
Q64372054,1,0,P17_only,0
Q13652546,0,1,P131_only,1
Q12550205,1,1,P17+P131,1
Q25387430,1,0,P17_only,1
Q18405657,1,1,P17+P131,0
Q3192141,1,1,P17+P131,1
Q12683336,1,0,P17_only,0
Q12575084,1,0,P17_only,1
Q13645669,1,1,P17+P131,1
Q20098403,1,1,P17+P131,1
Q19981850,0,1,P131_only,1
Q18396333,1,1,P17+P131,1
Q13648969,1,1,P17+P131,1
Q13645869,1,1,P17+P131,1
Q32184500,1,0,P17_only,0
Q2466428,1,1,P17+P131,1
Q137755676,1,1,P17+P131,0
Q16674310,1,1,P17+P131,0
Q32217696,1,0,P17_only,0
Q16694835,1,1,P17+P131,1
Q13642254,1,1,P17+P131,0
Q12539460,1,1,P17+P131,1
Q16668894,1,1,P17+P131,0
Q12547096,1,0,P17_only,1
Q55657879,1,0,P17_only,1
Q15845733,1,1,P17+P131,1
Q16695983,1,1,P17+P131,0
Q16433544,1,1,P17+P131,1
Q20098407,1,1,P17+P131,1
Q135829911,1,0,P17_only,0
Q123363700,1,0,P17_only,0
Q13643121,0,1,P131_only,1
Q32212808,1,1,P17+P131,1
Q27357739,1,0,P17_only,0
Q13652558,0,1,P131_only,1
Q16655776,1,1,P17+P131,1
Q12528457,1,1,P17+P131,1
Q4273759,1,0,P17_only,1
Q135829837,1,0,P17_only,0
Q86667473,1,1,P17+P131,0
Q16690812,1,0,P17_only,1
Q27357635,1,0,P17_only,0
Q12536426,1,0,P17_only,1
Q12532966,1,1,P17+P131,1
Q2750201,1,0,P17_only,0
Q16704863,1,1,P17+P131,1
Q27357652,1,0,P17_only,0
Q13661794,1,1,P17+P131,1
Q25530322,1,1,P17+P131,1
Q30975137,1,1,P17+P131,1
Q16669482,1,1,P17+P131,1
Q111077075,1,0,P17_only,1
Q20072880,0,1,P131_only,1
Q13655800,1,1,P17+P131,1
Q13647361,1,1,P17+P131,1
Q135828729,1,0,P17_only,0
Q16670739,1,1,P17+P131,1
Q27430802,1,0,P17_only,0
Q123363775,1,0,P17_only,0
Q16676619,1,1,P17+P131,0
Q16678937,1,1,P17+P131,1
Q27350650,1,0,P17_only,0
Q20484408,1,0,P17_only,1
Q4428122,1,1,P17+P131,1
Q22906097,1,0,P17_only,1
Q12565754,1,1,P17+P131,1
Q109699940,1,0,P17_only,0
Q135829737,1,0,P17_only,0
Q18398764,1,1,P17+P131,1
Q16648405,1,1,P17+P131,1
Q20074267,1,1,P17+P131,1
Q12554169,1,0,P17_only,1
Q12576194,1,1,P17+P131,1
Q140400722,1,1,P17+P131,0
Q12533012,1,1,P17+P131,1
Q16433115,1,0,P17_only,1
Q16434718,1,0,P17_only,1
Q123363736,1,0,P17_only,0
Q131359039,1,1,P17+P131,0
Q32196438,1,0,P17_only,0
Q12558409,1,0,P17_only,1
Q129880564,1,1,P17+P131,1
Q16662170,1,1,P17+P131,1
Q250141,1,0,P17_only,0
Q19953578,0,1,P131_only,0
Q12532569,1,1,P17+P131,1
Q12576071,1,0,P17_only,1
