qid,in_p17,in_p131,relation_group,has_kkwiki
Q16432981,1,0,P17_only,1
Q27430700,1,0,P17_only,0
Q16433272,1,0,P17_only,1
Q16713696,1,1,P17+P131,1
Q13645598,1,1,P17+P131,1
Q16710222,1,1,P17+P131,0
Q18405135,1,1,P17+P131,1
Q16431557,1,0,P17_only,1
Q1047741,1,1,P17+P131,1
Q16721244,1,1,P17+P131,1
Q97214739,1,0,P17_only,1
Q32183218,1,0,P17_only,0
Q18409295,1,1,P17+P131,1
Q16700969,1,1,P17+P131,1
Q112113718,1,0,P17_only,0
Q740666,1,0,P17_only,1
Q2466404,1,1,P17+P131,1
Q16685601,1,1,P17+P131,1
Q25506914,1,0,P17_only,1
Q32204451,1,0,P17_only,0
Q13641678,1,1,P17+P131,1
Q16672297,1,1,P17+P131,0
Q27357185,1,0,P17_only,0
Q16689892,1,1,P17+P131,1
Q27354944,1,0,P17_only,0
Q135829284,1,0,P17_only,0
Q112113769,1,0,P17_only,0
Q86754120,1,0,P17_only,0
Q25395442,1,1,P17+P131,1
Q140001284,1,1,P17+P131,0
Q12576478,1,1,P17+P131,1
Q14954503,1,1,P17+P131,0
Q12554244,1,0,P17_only,1
Q129880638,1,0,P17_only,1
Q111297057,1,0,P17_only,0
Q32194500,1,0,P17_only,0
Q32219478,1,0,P17_only,0
Q32194788,1,1,P17+P131,0
Q32212208,1,0,P17_only,0
Q16432195,1,0,P17_only,1
Q10896619,1,1,P17+P131,1
Q12527245,1,1,P17+P131,1
Q112003964,1,1,P17+P131,0
Q21659282,1,0,P17_only,1
Q48947440,1,0,P17_only,1
Q12564088,1,1,P17+P131,1
Q65253200,1,0,P17_only,1
Q12533832,1,1,P17+P131,1
Q13643451,1,1,P17+P131,1
Q32196278,1,0,P17_only,0
Q13643428,1,1,P17+P131,1
Q32187505,1,0,P17_only,0
Q32190583,1,0,P17_only,0
Q118352566,1,0,P17_only,0
Q16433606,1,0,P17_only,1
Q17125108,1,1,P17+P131,1
Q12535351,1,0,P17_only,1
Q65256504,1,0,P17_only,0
Q12550501,1,0,P17_only,1
Q16701797,1,1,P17+P131,0
Q13647353,1,1,P17+P131,1
Q112003986,1,0,P17_only,0
Q32204527,1,0,P17_only,0
Q108533883,1,0,P17_only,0
Q2102630,1,0,P17_only,0
Q85735543,1,0,P17_only,0
Q18405635,1,1,P17+P131,1
Q410219,1,0,P17_only,1
Q16701170,1,1,P17+P131,1
Q4078812,1,1,P17+P131,1
Q20486057,1,0,P17_only,1
Q123363444,1,0,P17_only,0
Q13643513,1,1,P17+P131,0
Q13640757,1,1,P17+P131,1
Q16694906,1,1,P17+P131,1
Q32217957,1,0,P17_only,1
Q12544248,0,1,P131_only,1
Q12973952,1,0,P17_only,0
Q135828566,1,0,P17_only,0
Q15617582,1,1,P17+P131,1
Q16433381,1,0,P17_only,1
Q12568632,1,0,P17_only,1
Q27358033,1,0,P17_only,0
Q18398704,1,1,P17+P131,0
Q12572580,1,1,P17+P131,1
Q135829190,1,0,P17_only,0
Q16663185,1,1,P17+P131,1
Q137527290,1,0,P17_only,0
Q16434254,1,0,P17_only,1
Q804210,1,1,P17+P131,1
Q112537643,1,0,P17_only,0
Q4736523,1,0,P17_only,1
Q4345459,1,0,P17_only,1
Q27357937,1,0,P17_only,0
Q27348107,1,0,P17_only,0
Q2288994,1,0,P17_only,0
Q6353996,1,1,P17+P131,1
Q135829875,1,0,P17_only,0
Q135828672,1,0,P17_only,0
Q3358037,1,1,P17+P131,1
Q13648509,1,1,P17+P131,1
Q4474901,1,1,P17+P131,1
Q123363597,1,0,P17_only,0
Q27357574,1,0,P17_only,0
Q125122531,1,0,P17_only,0
Q131679338,1,1,P17+P131,0
Q123363476,1,0,P17_only,0
Q112113714,1,0,P17_only,0
Q12071060,1,0,P17_only,0
Q486913,1,1,P17+P131,1
Q12574683,1,1,P17+P131,1
Q12550744,1,1,P17+P131,1
Q12567581,1,0,P17_only,1
Q13646506,1,1,P17+P131,1
Q12578511,1,0,P17_only,1
Q64642647,1,0,P17_only,0
Q65007106,1,0,P17_only,0
Q32178754,1,0,P17_only,0
Q16661527,1,1,P17+P131,1
Q16431999,1,1,P17+P131,1
Q32170886,1,0,P17_only,0
Q138746222,1,1,P17+P131,0
Q27352180,1,0,P17_only,0
Q13652409,0,1,P131_only,1
Q12549152,1,0,P17_only,1
Q12574467,1,0,P17_only,1
Q12527636,1,0,P17_only,1
Q111516061,1,0,P17_only,0
Q65263805,1,0,P17_only,0
Q129880746,1,0,P17_only,1
Q13641891,1,1,P17+P131,1
Q4341874,1,0,P17_only,1
Q4506029,1,1,P17+P131,1
Q4258169,1,1,P17+P131,1
Q12570844,1,0,P17_only,1
Q13665038,1,1,P17+P131,1
Q27351789,1,0,P17_only,1
Q7683129,1,1,P17+P131,1
Q55564853,1,0,P17_only,0
Q111862463,1,0,P17_only,0
Q16720725,1,1,P17+P131,0
Q20098114,1,1,P17+P131,1
Q15617681,1,1,P17+P131,1
Q12536823,1,0,P17_only,1
Q42801377,1,0,P17_only,0
Q43094028,1,0,P17_only,0
Q135828563,1,0,P17_only,0
Q32188369,1,0,P17_only,0
Q27357482,1,0,P17_only,0
Q55659084,1,0,P17_only,0
Q16664815,1,1,P17+P131,0
Q16664763,1,1,P17+P131,1
Q12532723,1,0,P17_only,1
Q135828625,1,0,P17_only,0
Q4158981,1,1,P17+P131,1
Q2321974,1,1,P17+P131,1
Q16431554,1,1,P17+P131,1
Q12576101,1,1,P17+P131,1
Q12543300,1,1,P17+P131,1
Q12526239,1,1,P17+P131,1
Q1046084,1,0,P17_only,1
Q120535468,1,0,P17_only,0
Q32213808,1,0,P17_only,0
Q86989115,1,0,P17_only,0
Q12540118,0,1,P131_only,1
Q108789721,1,1,P17+P131,0
Q27355099,1,0,P17_only,0
Q32216641,1,1,P17+P131,0
Q135828547,1,0,P17_only,0
Q137527266,1,0,P17_only,0
Q12554272,1,0,P17_only,1
Q27358059,1,0,P17_only,0
Q55658181,1,0,P17_only,0
Q67893173,1,0,P17_only,0
Q13643748,1,1,P17+P131,1
Q20098170,1,1,P17+P131,1
Q12574997,1,0,P17_only,1
Q25492969,1,0,P17_only,1
Q12532171,1,0,P17_only,1
Q16631101,0,1,P131_only,1
Q25396986,1,1,P17+P131,1
Q12556432,1,0,P17_only,1
Q12538300,1,0,P17_only,1
Q125869114,1,1,P17+P131,0
Q27351938,1,0,P17_only,0
Q133286070,1,1,P17+P131,1
Q13652588,0,1,P131_only,1
Q20098493,1,1,P17+P131,1
Q25510701,1,1,P17+P131,1
Q16688515,1,1,P17+P131,1
Q70499100,1,0,P17_only,0
Q27357055,1,0,P17_only,0
Q27357687,1,0,P17_only,0
Q12531740,1,0,P17_only,1
Q16683473,1,1,P17+P131,1
Q13653142,0,1,P131_only,1
Q12531853,1,1,P17+P131,1
Q27354996,1,0,P17_only,0
Q32202925,1,0,P17_only,0
Q20484476,1,0,P17_only,1
Q2814613,1,0,P17_only,1
Q12570240,1,0,P17_only,1
Q27430791,1,0,P17_only,0
Q1620994,1,0,P17_only,1
Q27354909,1,0,P17_only,0
Q138647511,1,1,P17+P131,0
Q30594903,1,0,P17_only,0
Q12533402,1,1,P17+P131,1
Q18399829,1,1,P17+P131,1
Q16652535,1,1,P17+P131,1
Q16431428,1,0,P17_only,1
Q110114312,1,0,P17_only,1
Q27350590,1,1,P17+P131,0
Q12530031,1,1,P17+P131,1
Q7500005,0,1,P131_only,1
Q32201423,1,0,P17_only,0
Q73109098,1,0,P17_only,0
Q22205241,1,1,P17+P131,1
Q16669426,1,1,P17+P131,1
Q27356902,1,0,P17_only,0
Q12566591,1,1,P17+P131,1
Q27358064,1,0,P17_only,0
Q130081292,1,1,P17+P131,0
Q12538364,1,1,P17+P131,1
Q13646954,1,1,P17+P131,1
Q45728547,1,0,P17_only,0
Q13359477,0,1,P131_only,1
Q2426779,1,0,P17_only,1
Q12565005,1,1,P17+P131,1
Q20098164,1,1,P17+P131,1
Q16720764,1,1,P17+P131,1
Q64152567,1,0,P17_only,1
Q27351873,1,1,P17+P131,0
Q4880422,1,1,P17+P131,0
Q12536803,1,0,P17_only,1
Q16662726,1,1,P17+P131,1
Q4077051,1,1,P17+P131,1
Q27357438,1,0,P17_only,0
Q12528108,1,1,P17+P131,1
Q16431895,1,0,P17_only,1
Q110114206,1,0,P17_only,1
Q135829139,1,0,P17_only,0
Q4059618,1,0,P17_only,1
Q32219120,1,0,P17_only,0
Q110259350,1,0,P17_only,0
Q16689593,1,1,P17+P131,1
Q4431320,1,1,P17+P131,0
Q61368934,1,1,P17+P131,1
Q16684777,1,1,P17+P131,0
Q4525024,1,1,P17+P131,0
Q113675887,0,1,P131_only,1
Q20455247,1,0,P17_only,0
Q32185455,1,0,P17_only,0
Q15617721,1,1,P17+P131,1
Q13365424,0,1,P131_only,1
Q27356972,1,0,P17_only,0
Q27430976,1,0,P17_only,0
Q13640788,1,1,P17+P131,1
Q12532094,1,1,P17+P131,1
Q12537757,1,1,P17+P131,1
Q4068489,1,0,P17_only,1
Q27348173,1,0,P17_only,0
Q64176885,1,0,P17_only,1
Q16273492,1,1,P17+P131,1
Q16718977,1,1,P17+P131,1
Q18398892,1,1,P17+P131,0
Q12533839,1,0,P17_only,1
Q32216205,1,1,P17+P131,0
Q4437635,1,0,P17_only,1
Q12574499,1,0,P17_only,1
Q13647300,1,1,P17+P131,1
Q16700838,1,1,P17+P131,1
Q2622157,1,1,P17+P131,1
Q12573945,1,0,P17_only,1
Q32210998,1,1,P17+P131,0
Q27348160,1,0,P17_only,1
Q60851926,1,1,P17+P131,0
Q12540290,0,1,P131_only,1
Q12549159,1,1,P17+P131,1
Q20098240,1,1,P17+P131,1
Q32199386,1,0,P17_only,0
Q61085384,1,0,P17_only,0
Q55659547,1,0,P17_only,0
Q123363790,1,0,P17_only,0
Q12569874,1,0,P17_only,1
Q56367397,1,1,P17+P131,1
Q13640726,1,1,P17+P131,1
Q2068488,1,0,P17_only,0
Q125555769,1,0,P17_only,1
Q16273419,1,1,P17+P131,1
Q16710365,1,1,P17+P131,0
Q27355122,1,0,P17_only,0
Q13666729,1,1,P17+P131,1
Q56368952,1,1,P17+P131,1
Q135830007,1,0,P17_only,0
Q27355096,1,0,P17_only,0
Q1519806,1,0,P17_only,1
Q111862446,1,0,P17_only,0
Q20098386,1,1,P17+P131,1
Q27352858,1,0,P17_only,0
Q13653335,0,1,P131_only,1
Q17494831,1,1,P17+P131,1
Q123363763,1,0,P17_only,0
Q27352555,0,1,P131_only,0
Q16434495,1,0,P17_only,1
Q20484518,1,0,P17_only,1
Q4843003,1,0,P17_only,0
Q18408873,1,1,P17+P131,1
Q30973141,1,1,P17+P131,1
Q97910246,1,0,P17_only,0
Q12577622,1,0,P17_only,1
Q123225212,1,0,P17_only,0
Q16650934,1,1,P17+P131,1
Q25504799,1,0,P17_only,1
Q12565876,1,0,P17_only,1
Q211011,1,0,P17_only,0
Q12528031,1,1,P17+P131,1
Q13651903,1,1,P17+P131,1
Q16720152,1,1,P17+P131,1
Q141159337,1,0,P17_only,0
Q16656960,1,0,P17_only,0
Q18402012,1,1,P17+P131,1
Q48436826,1,0,P17_only,0
Q15313933,1,0,P17_only,1
Q106458068,1,0,P17_only,0
Q28671098,1,1,P17+P131,1
Q104049494,1,0,P17_only,0
Q16274602,1,1,P17+P131,1
Q30972330,1,1,P17+P131,1
Q12573355,1,0,P17_only,1
Q66028748,1,0,P17_only,0
Q13645590,1,1,P17+P131,1
Q12545322,1,1,P17+P131,1
Q16432804,1,1,P17+P131,1
Q12566988,1,0,P17_only,1
Q4208128,1,0,P17_only,1
Q12528274,1,1,P17+P131,1
Q123363446,1,0,P17_only,0
Q65926214,1,1,P17+P131,0
Q135829594,1,0,P17_only,0
Q16720751,1,1,P17+P131,1
Q32212890,1,0,P17_only,0
Q110114344,1,0,P17_only,1
Q12570538,1,0,P17_only,1
Q2116942,1,1,P17+P131,1
Q4062773,1,1,P17+P131,0
Q3362137,1,1,P17+P131,1
Q108533902,1,0,P17_only,0
Q16661550,1,1,P17+P131,0
Q123363769,1,0,P17_only,0
Q16648888,1,1,P17+P131,1
Q2565654,1,1,P17+P131,1
Q27430593,1,0,P17_only,0
Q27357169,1,0,P17_only,0
Q32188636,1,1,P17+P131,0
Q16690766,1,1,P17+P131,1
Q27356923,1,0,P17_only,0
Q13663142,1,1,P17+P131,1
Q15617618,1,1,P17+P131,1
Q12539626,1,0,P17_only,1
Q32216631,1,0,P17_only,0
Q126365423,1,0,P17_only,0
Q135828570,1,0,P17_only,0
Q12573880,1,0,P17_only,1
Q16704852,1,1,P17+P131,1
Q16682663,1,1,P17+P131,0
Q22083509,1,0,P17_only,0
Q114976707,1,0,P17_only,1
Q65253812,1,0,P17_only,0
Q4165521,1,1,P17+P131,1
Q16431237,1,0,P17_only,1
Q123363483,1,0,P17_only,0
Q4693762,1,0,P17_only,0
Q13646089,1,1,P17+P131,1
Q12577881,1,1,P17+P131,1
Q20486061,1,0,P17_only,1
Q4408837,1,1,P17+P131,1
Q32215637,1,0,P17_only,0
Q13648499,1,1,P17+P131,1
Q21660508,1,0,P17_only,0
Q135295328,1,0,P17_only,0
Q13664212,1,1,P17+P131,1
Q32217196,1,0,P17_only,1
Q135829592,1,0,P17_only,0
Q16434616,1,0,P17_only,1
Q16721246,1,1,P17+P131,1
Q12532230,1,1,P17+P131,1
Q27355154,1,0,P17_only,1
Q27357527,1,0,P17_only,0
Q20098567,1,1,P17+P131,1
Q30975233,1,1,P17+P131,1
Q65261431,1,0,P17_only,0
Q12554318,1,0,P17_only,1
Q6380798,1,0,P17_only,0
Q4181136,1,0,P17_only,1
Q2739105,1,1,P17+P131,1
Q85811790,1,0,P17_only,0
Q20098362,1,1,P17+P131,1
Q12548728,1,1,P17+P131,1
Q15918859,1,1,P17+P131,1
Q32193392,1,0,P17_only,0
Q60289793,1,0,P17_only,0
Q135828610,1,0,P17_only,0
Q122583497,1,1,P17+P131,0
Q135829215,1,0,P17_only,0
Q56367374,1,1,P17+P131,1
Q31230,1,0,P17_only,1
Q86671919,1,0,P17_only,0
Q123532594,1,0,P17_only,0
Q12526379,1,1,P17+P131,1
Q65925580,1,1,P17+P131,1
Q13641629,1,1,P17+P131,1
Q32212468,1,0,P17_only,0
Q105978796,1,1,P17+P131,1
Q5601652,1,0,P17_only,1
Q16706771,1,1,P17+P131,1
Q27354246,1,0,P17_only,1
Q4509440,1,1,P17+P131,0
Q25447926,1,1,P17+P131,0
Q32183532,1,0,P17_only,0
Q124335719,1,0,P17_only,1
Q20515622,1,0,P17_only,0
Q649715,1,0,P17_only,1
Q3412428,1,1,P17+P131,1
Q3078942,1,0,P17_only,0
Q27352872,1,0,P17_only,0
Q27358223,1,0,P17_only,0
Q16650888,1,1,P17+P131,1
Q16684609,1,0,P17_only,0
Q12550547,1,0,P17_only,1
Q12565790,1,1,P17+P131,1
Q32194547,1,0,P17_only,0
Q135828886,1,0,P17_only,0
Q13664417,1,1,P17+P131,1
Q30592459,1,0,P17_only,0
Q13648625,1,1,P17+P131,1
Q12532399,1,0,P17_only,1
Q2255563,1,0,P17_only,0
Q13641784,1,1,P17+P131,1
Q12577067,1,1,P17+P131,1
Q13642384,0,1,P131_only,1
Q43304683,1,0,P17_only,0
Q2566784,1,0,P17_only,0
Q19952655,0,1,P131_only,0
Q12554247,1,1,P17+P131,1
Q4225063,1,1,P17+P131,1
Q13641756,1,1,P17+P131,1
Q16434357,1,0,P17_only,1
Q65153743,1,0,P17_only,0
Q12569517,1,1,P17+P131,1
Q16434767,1,1,P17+P131,1
Q16679626,1,1,P17+P131,1
Q13640728,1,1,P17+P131,0
Q10729158,1,1,P17+P131,1
Q12074569,1,1,P17+P131,1
Q7284283,1,0,P17_only,1
Q27353832,1,0,P17_only,0
Q4227527,1,1,P17+P131,1
Q16690616,1,1,P17+P131,1
Q32192691,1,0,P17_only,0
Q16672062,1,1,P17+P131,1
Q2212741,1,0,P17_only,0
Q2982888,1,0,P17_only,1
Q12570798,1,0,P17_only,1
Q4284311,1,0,P17_only,1
Q4126424,1,1,P17+P131,1
Q4167209,1,1,P17+P131,1
Q18401163,1,1,P17+P131,1
Q12550390,1,0,P17_only,1
Q97213320,1,0,P17_only,1
Q27042499,1,0,P17_only,0
Q12530678,1,1,P17+P131,1
Q15617648,1,1,P17+P131,1
Q32204394,1,0,P17_only,0
Q65263916,1,0,P17_only,0
Q32207821,0,1,P131_only,0
Q4085885,1,0,P17_only,1
Q56366793,1,1,P17+P131,1
Q27357437,1,0,P17_only,0
Q2302382,1,0,P17_only,1
Q22202584,1,1,P17+P131,1
Q27357856,1,0,P17_only,0
Q12526013,1,1,P17+P131,1
Q16273291,1,1,P17+P131,1
Q32215248,1,0,P17_only,0
Q13219118,1,1,P17+P131,1
Q135828987,1,0,P17_only,0
Q12529599,1,0,P17_only,1
Q21655443,1,0,P17_only,0
Q97659306,1,0,P17_only,0
Q27354961,1,0,P17_only,0
Q25494461,1,0,P17_only,1
Q13640818,1,1,P17+P131,1
Q12575498,1,1,P17+P131,1
Q2476575,1,1,P17+P131,1
Q13643090,0,1,P131_only,1
Q30972516,1,1,P17+P131,1
Q16664384,1,1,P17+P131,1
Q27430996,1,1,P17+P131,1
Q4229932,1,0,P17_only,1
Q32197607,1,0,P17_only,0
Q16717966,1,1,P17+P131,1
Q16432844,1,0,P17_only,1
Q4181636,1,1,P17+P131,1
Q12575471,1,0,P17_only,1
Q135828656,1,0,P17_only,0
Q32214053,1,0,P17_only,0
Q18400626,1,1,P17+P131,1
Q32192573,1,0,P17_only,0
Q137527252,1,0,P17_only,0
Q136268967,1,0,P17_only,0
Q130564411,1,0,P17_only,1
Q23958970,1,0,P17_only,1
Q127414728,1,0,P17_only,0
Q67892958,1,0,P17_only,0
Q27350674,1,0,P17_only,0
Q4186447,1,0,P17_only,0
Q111125778,1,0,P17_only,0
Q3981088,1,0,P17_only,0
Q135922393,1,0,P17_only,0
Q27356844,1,0,P17_only,0
Q60772008,1,0,P17_only,0
Q16708301,1,1,P17+P131,0
Q135828493,1,0,P17_only,0
Q27357163,1,0,P17_only,0
Q124249389,1,0,P17_only,0
Q12540269,0,1,P131_only,1
Q12544173,0,1,P131_only,1
Q16431147,1,1,P17+P131,1
Q16434780,1,0,P17_only,1
Q16433002,1,0,P17_only,1
Q13646415,1,1,P17+P131,1
Q13646992,1,1,P17+P131,1
Q138335382,1,1,P17+P131,0
Q114976706,1,0,P17_only,1
Q12660591,1,0,P17_only,0
Q13649099,1,1,P17+P131,1
Q12571136,1,1,P17+P131,1
Q18400793,1,1,P17+P131,1
Q123363490,1,0,P17_only,0
Q12562795,1,0,P17_only,1
Q32216715,1,0,P17_only,0
Q32171729,1,0,P17_only,0
Q32203322,1,1,P17+P131,0
Q16272573,1,1,P17+P131,0
Q112003975,1,0,P17_only,0
Q12531781,1,0,P17_only,1
Q65261853,1,0,P17_only,0
Q16654864,1,1,P17+P131,1
Q13641884,1,1,P17+P131,1
Q12549659,1,0,P17_only,1
Q19614079,0,1,P131_only,1
Q32202059,1,0,P17_only,0
Q16710832,1,1,P17+P131,1
Q15617542,1,1,P17+P131,1
Q27357080,1,0,P17_only,0
Q20462543,1,0,P17_only,0
Q4468798,1,1,P17+P131,1
Q97165767,1,1,P17+P131,0
Q16651497,1,1,P17+P131,1
Q15918940,1,1,P17+P131,1
Q1355704,1,0,P17_only,0
Q13646339,1,1,P17+P131,1
Q12572825,1,0,P17_only,1
Q27356865,1,0,P17_only,0
Q13643057,0,1,P131_only,1
Q115161884,1,0,P17_only,0
Q16673341,1,1,P17+P131,1
Q32186067,1,0,P17_only,0
Q488379,1,1,P17+P131,1
Q13641565,1,1,P17+P131,1
Q27354995,1,0,P17_only,0
Q3920366,1,1,P17+P131,1
Q16686659,1,1,P17+P131,1
Q16669434,1,1,P17+P131,1
Q101435483,1,1,P17+P131,0
Q13375043,0,1,P131_only,1
Q15617580,1,1,P17+P131,1
Q110248520,1,1,P17+P131,0
Q7499227,0,1,P131_only,1
Q16710892,1,1,P17+P131,1
Q61368562,1,1,P17+P131,1
Q12104411,1,0,P17_only,1
Q27351944,1,0,P17_only,0
Q757348,1,0,P17_only,1
Q18399973,1,1,P17+P131,1
Q16431832,1,1,P17+P131,1
Q12560060,1,0,P17_only,1
Q27430895,1,0,P17_only,0
Q13653338,0,1,P131_only,1
Q16434724,1,0,P17_only,1
Q15918873,1,1,P17+P131,1
Q127687841,1,0,P17_only,0
Q123363481,1,0,P17_only,0
Q16432707,1,0,P17_only,1
Q55659545,1,0,P17_only,0
Q16434433,1,0,P17_only,1
Q12533264,1,1,P17+P131,1
Q16669256,1,1,P17+P131,1
Q27351619,1,0,P17_only,0
Q13652378,0,1,P131_only,1
Q18401641,1,1,P17+P131,0
Q21843260,1,1,P17+P131,0
Q20486062,1,0,P17_only,1
Q32211978,1,0,P17_only,0
Q45728447,1,0,P17_only,0
Q6362301,1,1,P17+P131,1
Q20643153,1,1,P17+P131,0
Q32203560,1,0,P17_only,1
Q4843261,1,0,P17_only,0
Q55659371,1,0,P17_only,0
Q12557826,1,1,P17+P131,1
Q18405670,1,1,P17+P131,1
Q68036941,1,0,P17_only,0
Q12528702,1,0,P17_only,1
Q20098443,1,1,P17+P131,1
Q16432120,1,1,P17+P131,1
Q12566167,1,0,P17_only,1
Q12574677,1,1,P17+P131,1
Q12537338,1,1,P17+P131,1
Q124479558,1,0,P17_only,0
Q7602091,1,0,P17_only,0
Q16702919,1,1,P17+P131,1
Q18400461,1,1,P17+P131,1
Q12530114,1,1,P17+P131,1
Q20077506,1,1,P17+P131,1
Q32176526,1,0,P17_only,1
Q12551692,0,1,P131_only,1
Q12688811,1,0,P17_only,0
Q60974929,1,0,P17_only,1
Q85845387,1,1,P17+P131,1
Q13645822,1,1,P17+P131,1
Q32205882,1,0,P17_only,0
Q12525704,1,1,P17+P131,1
Q30975089,1,1,P17+P131,1
Q65254936,1,0,P17_only,0
Q22201873,1,1,P17+P131,1
Q13664406,1,1,P17+P131,1
Q13643521,1,1,P17+P131,1
Q12546246,1,0,P17_only,1
Q12557317,1,1,P17+P131,1
Q20098111,1,1,P17+P131,1
Q16431684,1,1,P17+P131,1
Q27347341,1,0,P17_only,0
Q123671092,1,1,P17+P131,0
Q16704858,1,1,P17+P131,1
Q15918863,1,1,P17+P131,1
Q12549331,1,0,P17_only,1
Q2758413,1,0,P17_only,0
Q127788676,1,0,P17_only,0
Q16433512,1,0,P17_only,1
Q12543564,1,0,P17_only,1
Q25507554,1,0,P17_only,1
Q4505582,1,1,P17+P131,1
Q32189134,1,0,P17_only,1
Q11495499,1,1,P17+P131,1
Q12533829,1,1,P17+P131,1
Q12556954,1,1,P17+P131,1
Q12573113,1,1,P17+P131,1
Q3259173,1,0,P17_only,0
Q16635825,0,1,P131_only,1
Q12537849,1,0,P17_only,1
Q16719090,1,0,P17_only,0
Q111125783,1,0,P17_only,0
Q32196087,1,0,P17_only,0
Q13646898,1,1,P17+P131,1
Q6380791,1,1,P17+P131,0
Q21019579,1,0,P17_only,0
Q11549896,1,1,P17+P131,1
Q16690871,1,1,P17+P131,1
Q20098609,1,1,P17+P131,1
Q13642435,0,1,P131_only,0
Q124606447,1,1,P17+P131,1
Q136268959,1,0,P17_only,0
Q115906689,1,0,P17_only,0
Q13642407,0,1,P131_only,1
Q65153730,1,0,P17_only,0
Q20486278,1,0,P17_only,1
Q16433772,1,1,P17+P131,1
Q15617677,1,1,P17+P131,1
Q12567498,1,1,P17+P131,1
Q12574918,1,1,P17+P131,1
Q12576180,1,1,P17+P131,1
Q13645991,1,1,P17+P131,1
Q20484941,1,0,P17_only,1
Q32212748,1,1,P17+P131,0
Q12531856,1,0,P17_only,1
Q16433770,1,0,P17_only,1
Q27357617,1,0,P17_only,0
Q32177317,1,0,P17_only,0
Q35016617,1,0,P17_only,0
Q32211331,1,0,P17_only,0
Q138654963,1,0,P17_only,0
Q27127026,1,0,P17_only,0
Q18401835,1,1,P17+P131,1
Q13648212,1,1,P17+P131,1
Q312309,1,0,P17_only,1
Q12294281,1,1,P17+P131,1
Q16272829,1,1,P17+P131,1
Q123253377,1,0,P17_only,1
Q20486147,1,0,P17_only,1
Q27348431,1,1,P17+P131,0
Q21041030,1,0,P17_only,0
Q7514767,1,1,P17+P131,1
Q16677749,1,1,P17+P131,1
Q18400733,1,1,P17+P131,1
Q12535223,1,1,P17+P131,1
Q61369147,1,1,P17+P131,1
Q16510517,0,1,P131_only,0
Q60852550,1,0,P17_only,0
Q32171829,1,0,P17_only,0
Q120277897,1,0,P17_only,1
Q56368499,1,1,P17+P131,1
Q17070951,1,0,P17_only,1
Q123363731,1,0,P17_only,0
Q27357187,1,0,P17_only,0
Q65007288,1,1,P17+P131,0
Q4090618,1,1,P17+P131,1
Q112004048,1,0,P17_only,0
Q13664458,1,1,P17+P131,1
Q12557067,1,0,P17_only,1
Q12548784,1,0,P17_only,1
Q12542856,1,0,P17_only,1
Q20076766,1,1,P17+P131,1
Q12534079,1,0,P17_only,1
Q20098257,1,1,P17+P131,1
Q16434026,1,0,P17_only,1
Q20098572,1,1,P17+P131,1
Q2616191,1,1,P17+P131,1
Q65172439,1,1,P17+P131,0
Q12565160,1,0,P17_only,1
Q32181719,1,1,P17+P131,0
Q120868826,1,1,P17+P131,1
Q129758816,1,1,P17+P131,0
Q32193211,1,1,P17+P131,0
Q16433334,1,0,P17_only,1
Q32182319,1,0,P17_only,0
Q7497888,0,1,P131_only,1
Q12534563,1,1,P17+P131,1
Q22201229,1,1,P17+P131,1
Q61367348,1,1,P17+P131,1
Q27430823,1,1,P17+P131,0
Q16273691,1,1,P17+P131,1
Q12558090,1,1,P17+P131,1
Q13661790,1,1,P17+P131,1
Q27430629,1,0,P17_only,0
Q16669502,1,1,P17+P131,1
Q12552725,1,0,P17_only,1
Q13645722,1,1,P17+P131,1
Q32217578,1,0,P17_only,0
Q135829610,1,0,P17_only,0
Q13359441,0,1,P131_only,1
Q4178342,1,0,P17_only,1
Q13649001,1,1,P17+P131,1
Q111297061,1,0,P17_only,0
Q27354994,1,0,P17_only,0
Q13641568,1,1,P17+P131,1
Q2360606,1,1,P17+P131,1
Q2855635,1,0,P17_only,0
Q16433791,1,0,P17_only,1
Q16432382,1,1,P17+P131,1
Q27354774,1,0,P17_only,0
Q135829550,1,0,P17_only,0
Q20081882,1,0,P17_only,0
Q13664422,1,1,P17+P131,1
Q32199671,1,0,P17_only,0
Q12545573,1,0,P17_only,1
Q16664926,1,1,P17+P131,1
Q16273619,1,1,P17+P131,1
Q55658130,1,0,P17_only,0
Q27348262,1,0,P17_only,0
Q55633693,1,0,P17_only,0
Q4050660,1,0,P17_only,0
Q16661666,1,1,P17+P131,1
Q98073081,0,1,P131_only,1
Q4099914,1,0,P17_only,0
Q20093871,1,1,P17+P131,1
Q18405227,1,1,P17+P131,1
Q12565258,1,1,P17+P131,1
Q32169051,0,1,P131_only,0
Q123363559,1,0,P17_only,0
Q16273236,1,1,P17+P131,1
Q135829907,1,0,P17_only,0
Q16719261,1,1,P17+P131,1
Q18409456,1,1,P17+P131,1
Q16432836,1,0,P17_only,1
Q111297022,1,0,P17_only,0
Q16653142,1,1,P17+P131,1
Q18401354,1,1,P17+P131,1
Q104638842,1,1,P17+P131,0
Q2119741,1,1,P17+P131,1
Q13641870,1,1,P17+P131,1
Q30975165,1,1,P17+P131,1
Q27431033,1,0,P17_only,0
Q135829842,1,0,P17_only,0
Q2393058,1,1,P17+P131,1
Q16434262,1,0,P17_only,1
Q30972360,1,1,P17+P131,1
Q12530508,1,0,P17_only,1
Q32171270,1,0,P17_only,0
Q16274460,1,1,P17+P131,1
