qid,has_kkwiki,p21,p21_group
Q133246434,0,Q6581097,Q6581097
Q133247603,0,Q6581097,Q6581097
Q133247709,0,Q6581097,Q6581097
Q133250632,0,Q6581072,Q6581072
Q133251758,0,Q6581097,Q6581097
Q133252356,0,Q6581097,Q6581097
Q133253461,0,Q6581097,Q6581097
Q133260513,1,,MISSING
Q133269164,0,,MISSING
Q133269254,0,,MISSING
Q133269276,0,,MISSING
Q133272979,0,Q6581072,Q6581072
Q133279711,0,,MISSING
Q133454735,0,,MISSING
Q133454741,0,,MISSING
Q133523164,0,,MISSING
Q133523183,0,,MISSING
Q133523221,0,,MISSING
Q133529259,0,Q6581097,Q6581097
Q133571491,0,Q6581097,Q6581097
Q133571494,0,Q6581097,Q6581097
Q133571495,0,Q6581097,Q6581097
Q133571493,0,Q6581097,Q6581097
Q133571496,0,Q6581097,Q6581097
Q133574211,1,,MISSING
Q133797578,0,Q6581072,Q6581072
Q133797583,0,Q6581072,Q6581072
Q133797580,0,Q6581072,Q6581072
Q133797586,0,Q6581097,Q6581097
Q133797589,0,Q6581097,Q6581097
Q133798072,0,Q6581097,Q6581097
Q133798226,0,Q6581097,Q6581097
Q133799806,0,Q6581097,Q6581097
Q133800194,0,Q6581097,Q6581097
Q133802556,1,,MISSING
Q133822445,0,,MISSING
Q133822467,0,,MISSING
Q133822481,0,,MISSING
Q133822490,0,,MISSING
Q133837525,0,Q6581097,Q6581097
Q133839252,0,Q6581072,Q6581072
Q133839305,1,,MISSING
Q133846051,0,Q6581097,Q6581097
Q133856406,0,Q6581097,Q6581097
Q133887046,1,,MISSING
Q133887100,1,,MISSING
Q133896489,0,Q6581097,Q6581097
Q133963402,0,Q6581097,Q6581097
Q133973494,0,Q6581097,Q6581097
Q133980423,0,Q6581072,Q6581072
Q134005118,1,,MISSING
Q134007025,0,Q6581097,Q6581097
Q134034772,1,Q6581097,Q6581097
Q134035302,1,,MISSING
Q134035920,1,,MISSING
Q134036464,1,,MISSING
Q134053112,1,,MISSING
Q134081887,1,,MISSING
Q134100303,1,,MISSING
Q134100370,0,Q6581097,Q6581097
Q134107987,0,Q6581097,Q6581097
Q134122773,1,,MISSING
Q134122917,0,,MISSING
Q134133594,0,Q6581097,Q6581097
Q134179645,0,Q6581097,Q6581097
Q134184044,0,Q6581072,Q6581072
Q134184053,0,Q6581097,Q6581097
Q134300079,1,,MISSING
Q134307050,1,,MISSING
Q134307093,1,Q6581097,Q6581097
Q134312436,0,Q6581097,Q6581097
Q134312583,0,Q6581097,Q6581097
Q134315955,1,Q6581097,Q6581097
Q134316088,1,,MISSING
Q134319841,1,,MISSING
Q134349405,0,Q6581072,Q6581072
Q134350480,0,,MISSING
Q134367323,1,,MISSING
Q134381933,0,Q6581097,Q6581097
Q134381937,0,Q6581097,Q6581097
Q134382388,0,Q6581097,Q6581097
Q134405422,0,Q6581097,Q6581097
Q134427162,0,Q6581097,Q6581097
Q134434890,1,,MISSING
Q134437065,0,Q6581097,Q6581097
Q134439950,0,Q6581097,Q6581097
Q134452756,1,Q6581072,Q6581072
Q134462660,0,Q6581072,Q6581072
Q134463021,0,Q6581097,Q6581097
Q134480334,0,Q6581097,Q6581097
Q134505604,1,,MISSING
Q134513683,0,Q6581097,Q6581097
Q134531200,1,,MISSING
Q134542604,0,Q6581072,Q6581072
Q134576842,0,Q6581097,Q6581097
Q134589682,0,Q6581097,Q6581097
Q134595681,0,Q6581097,Q6581097
Q134607333,0,Q6581072,Q6581072
Q134612221,0,Q6581097,Q6581097
Q134615052,0,Q6581097,Q6581097
Q134621773,0,Q6581097,Q6581097
Q134622374,0,Q6581097,Q6581097
Q134622493,0,Q6581097,Q6581097
Q134639199,1,,MISSING
Q134640356,1,,MISSING
Q134698091,0,Q6581097,Q6581097
Q134705138,0,Q6581072,Q6581072
Q134710820,0,Q6581072,Q6581072
Q134710874,0,Q6581072,Q6581072
Q134710967,0,Q6581072,Q6581072
Q134725109,0,Q6581072,Q6581072
Q134725112,0,Q6581097,Q6581097
Q134725204,0,Q6581097,Q6581097
Q134736282,0,Q6581072,Q6581072
Q134736283,0,Q6581072,Q6581072
Q134736280,0,Q6581072,Q6581072
Q134736287,0,Q6581072,Q6581072
Q134736324,0,Q6581072,Q6581072
Q134736346,0,Q6581072,Q6581072
Q134736347,0,Q6581072,Q6581072
Q134736372,0,Q6581072,Q6581072
Q134736373,0,Q6581072,Q6581072
Q134804455,0,Q6581072,Q6581072
Q134831033,0,Q6581072,Q6581072
Q134879147,0,Q6581072,Q6581072
Q134880169,1,,MISSING
Q134880935,0,Q6581097,Q6581097
Q134890054,0,Q6581072,Q6581072
Q134900316,0,Q6581097,Q6581097
Q134959217,1,,MISSING
Q135089461,1,,MISSING
Q135098620,1,,MISSING
Q135104740,1,,MISSING
Q135105400,0,Q6581097,Q6581097
Q135105401,0,Q6581097,Q6581097
Q135206388,1,,MISSING
Q135206447,1,,MISSING
Q135207434,0,Q6581097,Q6581097
Q135221457,0,Q6581072,Q6581072
Q135222043,0,,MISSING
Q135263440,0,Q6581097,Q6581097
Q135347189,0,Q6581072,Q6581072
Q135350822,0,Q6581072,Q6581072
Q135350820,0,Q6581072,Q6581072
Q135350821,0,Q6581072,Q6581072
Q135351985,0,Q6581097,Q6581097
Q135352319,0,Q6581097,Q6581097
Q135352320,0,Q6581097,Q6581097
Q135352370,0,Q6581097,Q6581097
Q135352369,0,Q6581097,Q6581097
Q135352391,0,Q6581097,Q6581097
Q135352392,0,Q6581097,Q6581097
Q135353232,0,Q6581097,Q6581097
Q135353248,0,Q6581097,Q6581097
Q135353595,0,Q6581097,Q6581097
Q135353596,0,Q6581097,Q6581097
Q135353917,0,Q6581097,Q6581097
Q135353955,0,Q6581097,Q6581097
Q135353964,0,Q6581097,Q6581097
Q135353965,0,Q6581097,Q6581097
Q135353975,0,Q6581097,Q6581097
Q135353976,0,Q6581097,Q6581097
Q135353983,0,Q6581097,Q6581097
Q135353980,0,Q6581097,Q6581097
Q135353987,0,Q6581097,Q6581097
Q135353984,0,Q6581097,Q6581097
Q135353994,0,Q6581097,Q6581097
Q135353998,0,Q6581097,Q6581097
Q135353997,0,Q6581097,Q6581097
Q135354334,0,Q6581097,Q6581097
Q135355621,0,Q6581097,Q6581097
Q135356910,0,Q6581072,Q6581072
Q135356911,0,Q6581072,Q6581072
Q135356908,0,Q6581072,Q6581072
Q135356909,0,Q6581072,Q6581072
Q135356914,0,Q6581072,Q6581072
Q135356915,0,Q6581072,Q6581072
Q135356912,0,Q6581072,Q6581072
Q135356913,0,Q6581072,Q6581072
Q135356918,0,Q6581072,Q6581072
Q135356916,0,Q6581072,Q6581072
Q135356917,0,Q6581072,Q6581072
Q135356920,0,Q6581072,Q6581072
Q135357098,0,Q6581097,Q6581097
Q135357099,0,Q6581097,Q6581097
Q135357096,0,Q6581097,Q6581097
Q135357097,0,Q6581097,Q6581097
Q135357102,0,Q6581097,Q6581097
Q135357103,0,Q6581097,Q6581097
Q135357100,0,Q6581097,Q6581097
Q135357106,0,Q6581097,Q6581097
Q135357104,0,Q6581097,Q6581097
Q135357105,0,Q6581097,Q6581097
Q135357118,0,Q6581097,Q6581097
Q135357119,0,Q6581097,Q6581097
Q135357145,0,Q6581097,Q6581097
Q135357636,0,,MISSING
Q135357854,0,Q6581072,Q6581072
Q135357852,0,Q6581072,Q6581072
Q135357853,0,Q6581072,Q6581072
