p31,gap_entities,mean_other_wikipedias,median_other_wikipedias,wiki_2plus,wiki_5plus,wiki_10plus,covered_entities,observed_reference_universe,coverage_pct,gap_pct,wiki_2plus_pct,wiki_5plus_pct,wiki_10plus_pct,label_en,label_kk,label_ru
Q15640053,5,4.6,5.0,5,3,0,0,5,0.0,100.0,100.0,60.0,0.0,tram system,tram system,трамвайная система
Q1353183,5,6.2,4.0,4,2,1,0,5,0.0,100.0,80.0,40.0,20.0,launch pad,launch pad,стартовый комплекс
Q178561,5,3.8,1.0,2,1,1,3,8,37.5,62.5,40.0,20.0,20.0,battle,Арпалыс,битва
Q29791211,5,3.4,1.0,1,1,1,0,5,0.0,100.0,20.0,20.0,20.0,sport in a geographic region,sport in a geographic region,спорт в географическом регионе
Q102496,5,1.2,1.0,1,0,0,0,5,0.0,100.0,20.0,0.0,0.0,parish,parish,церковный приход
Q1194951,5,1.6,2.0,3,0,0,0,5,0.0,100.0,60.0,0.0,0.0,national sports team,national sports team,сборная
Q12357832,5,1.4,1.0,1,0,0,14,19,73.68,26.32,20.0,0.0,0.0,second-level administrative division,second-level administrative division,административная единица второго уровня
Q12357920,5,1.2,1.0,1,0,0,13,18,72.22,27.78,20.0,0.0,0.0,third-level administrative division,third-level administrative division,административная единица третьего уровня
Q123705,5,1.2,1.0,1,0,0,31,36,86.11,13.89,20.0,0.0,0.0,neighborhood,neighborhood,нейборхуд
Q14659,5,1.2,1.0,1,0,0,1,6,16.67,83.33,20.0,0.0,0.0,coat of arms,Мемлекеттік герб (елтаңба),герб
Q1616075,5,1.4,1.0,1,0,0,20,25,80.0,20.0,20.0,0.0,0.0,television station,television station,телецентр
Q16465938,5,1.0,1.0,0,0,0,0,5,0.0,100.0,0.0,0.0,0.0,seasonal river,seasonal river,пересыхающая река
Q18729324,5,3.0,3.0,5,0,0,7,12,58.33,41.67,100.0,0.0,0.0,razyezd,razyezd,разъезд как населённый пункт
Q2319498,5,2.0,1.0,2,0,0,4,9,44.44,55.56,40.0,0.0,0.0,architectural landmark,architectural landmark,памятник архитектуры
Q2385804,5,1.2,1.0,1,0,0,18,23,78.26,21.74,20.0,0.0,0.0,educational institution,білім мекемесі,образовательное учреждение
Q43229,5,1.2,1.0,1,0,0,21,26,80.77,19.23,20.0,0.0,0.0,organization,ұйым,организация
Q4830453|Q6881511,5,1.8,2.0,3,0,0,0,5,0.0,100.0,60.0,0.0,0.0,,,
Q62447,5,1.6,1.0,1,0,0,12,17,70.59,29.41,20.0,0.0,0.0,aerodrome,Аэродром,аэродром
Q744099,5,1.2,1.0,1,0,0,21,26,80.77,19.23,20.0,0.0,0.0,hillfort,hillfort,городище
Q46622,4,8.5,7.0,4,4,1,1,5,20.0,80.0,100.0,100.0,25.0,controlled-access highway,Автомагистраль,автомагистраль
Q24069004,4,8.75,9.5,4,3,2,4,8,50.0,50.0,100.0,75.0,50.0,Presidential elections in Kazakhstan,Presidential elections in Kazakhstan,выборы президента Казахстана
Q623109,4,10.25,5.5,3,2,1,0,4,0.0,100.0,75.0,50.0,25.0,sports league,sports league,лига
Q123705|Q130212458|Q21507948,4,3.0,3.0,3,1,0,0,4,0.0,100.0,75.0,25.0,0.0,,,
Q18247357,4,3.5,3.0,3,1,0,1,5,20.0,80.0,75.0,25.0,0.0,group of structures or buildings,group of structures or buildings,группа структур и зданий
Q220505,4,3.5,2.5,2,1,0,1,5,20.0,80.0,50.0,25.0,0.0,film festival,Кинофестиваль,кинофестиваль
Q56242225,4,3.5,4.0,3,1,0,4,8,50.0,50.0,75.0,25.0,0.0,Eastern Orthodox cathedral,Eastern Orthodox cathedral,кафедральный православный собор
Q82794,4,7.25,1.5,2,1,1,5,9,55.56,44.44,50.0,25.0,25.0,region,аймақ,географический регион
Q14757767,4,1.5,1.5,2,0,0,0,4,0.0,100.0,50.0,0.0,0.0,fourth-level administrative division,fourth-level administrative division,административная единица четвёртого уровня
Q1601458,4,2.25,2.0,4,0,0,6,10,60.0,40.0,100.0,0.0,0.0,combined heat and power station,Жылу Электр Орталығы,теплоэлектроцентраль
Q1601458|Q6558431,4,2.5,2.5,4,0,0,0,4,0.0,100.0,100.0,0.0,0.0,,,
Q188055,4,1.5,1.0,1,0,0,1,5,20.0,80.0,25.0,0.0,0.0,siege,siege,осада
Q192350,4,1.5,1.0,1,0,0,7,11,63.64,36.36,25.0,0.0,0.0,ministry,министрлік,министерство
Q2001305,4,1.5,1.0,1,0,0,2,6,33.33,66.67,25.0,0.0,0.0,television channel,television channel,телеканал
Q22687|Q4830453,4,1.5,1.5,2,0,0,0,4,0.0,100.0,50.0,0.0,0.0,,,
Q27686,4,1.25,1.0,1,0,0,3,7,42.86,57.14,25.0,0.0,0.0,hotel,Қонақ Үй,гостиница
Q30014735,4,1.0,1.0,0,0,0,0,4,0.0,100.0,0.0,0.0,0.0,bus-based transport system,bus-based transport system,автобусная система
Q34038,4,1.75,2.0,3,0,0,2,6,33.33,66.67,75.0,0.0,0.0,waterfall,Сарқырама,водопад
Q4830453,4,1.25,1.0,1,0,0,36,40,90.0,10.0,25.0,0.0,0.0,business,кәсіпорын,бизнес
Q55075651,4,1.0,1.0,0,0,0,7,11,63.64,36.36,0.0,0.0,0.0,upland,Қырат,возвышенность
Q55493,4,1.0,1.0,0,0,0,1,5,20.0,80.0,0.0,0.0,0.0,goods station,goods station,грузовая железнодорожная станция
Q591942,4,1.0,1.0,0,0,0,1,5,20.0,80.0,0.0,0.0,0.0,distributary,distributary,рукав реки
Q6017815,4,1.0,1.0,0,0,0,3,7,42.86,57.14,0.0,0.0,0.0,kishlak,Қыстау,кишлак
Q728937,4,2.0,2.0,3,0,0,3,7,42.86,57.14,75.0,0.0,0.0,railway line,railway line,железнодорожная линия
Q75520,4,1.0,1.0,0,0,0,5,9,55.56,44.44,0.0,0.0,0.0,plateau,Үстірт,плато
