qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q20483588,1,Q6581097,Q6581097,Q6581097,Male
Q20483634,1,Q6581072,Q6581072,Q6581072,Female
Q20483638,1,Q6581097,Q6581097,Q6581097,Male
Q20483651,1,Q6581072,Q6581072,Q6581072,Female
Q20483671,1,Q6581072,Q6581072,Q6581072,Female
Q20483685,1,Q6581097,Q6581097,Q6581097,Male
Q20483691,1,Q6581097,Q6581097,Q6581097,Male
Q20483706,1,Q6581097,Q6581097,Q6581097,Male
Q20483719,1,Q6581097,Q6581097,Q6581097,Male
Q20483750,1,Q6581072,Q6581072,Q6581072,Female
Q20483776,1,Q6581097,Q6581097,Q6581097,Male
Q20483798,1,,MISSING,MISSING,Missing P21
Q20483801,1,Q6581097,Q6581097,Q6581097,Male
Q20483816,1,Q6581097,Q6581097,Q6581097,Male
Q20483820,1,Q6581097,Q6581097,Q6581097,Male
Q20483834,1,Q6581097,Q6581097,Q6581097,Male
Q20483837,1,Q6581097,Q6581097,Q6581097,Male
Q20483864,1,Q6581097,Q6581097,Q6581097,Male
Q20483865,1,Q6581097,Q6581097,Q6581097,Male
Q20484141,1,Q6581072,Q6581072,Q6581072,Female
Q20630979,0,Q6581097,Q6581097,Q6581097,Male
Q20666212,0,Q6581097,Q6581097,Q6581097,Male
Q20666506,0,Q6581097,Q6581097,Q6581097,Male
Q20676778,0,Q6581097,Q6581097,Q6581097,Male
Q20712070,0,Q6581097,Q6581097,Q6581097,Male
Q20735808,1,Q6581097,Q6581097,Q6581097,Male
Q20745211,0,Q6581072,Q6581072,Q6581072,Female
Q20816393,0,Q6581072,Q6581072,Q6581072,Female
Q20870046,0,Q6581097,Q6581097,Q6581097,Male
Q20873427,0,Q6581097,Q6581097,Q6581097,Male
Q20873447,0,Q6581072,Q6581072,Q6581072,Female
Q20894854,0,Q6581097,Q6581097,Q6581097,Male
Q20918762,1,Q6581097,Q6581097,Q6581097,Male
Q20988043,0,Q6581072,Q6581072,Q6581072,Female
Q20988053,0,Q6581072,Q6581072,Q6581072,Female
Q21001335,0,Q6581097,Q6581097,Q6581097,Male
Q21004786,0,Q6581072,Q6581072,Q6581072,Female
Q21004876,0,Q6581072,Q6581072,Q6581072,Female
Q21005032,0,Q6581072,Q6581072,Q6581072,Female
Q21005793,1,Q6581097,Q6581097,Q6581097,Male
Q21060913,0,Q6581072,Q6581072,Q6581072,Female
Q21064459,0,Q6581097,Q6581097,Q6581097,Male
Q21064463,0,Q6581097,Q6581097,Q6581097,Male
Q21064460,0,Q6581097,Q6581097,Q6581097,Male
Q21064461,0,Q6581097,Q6581097,Q6581097,Male
Q21064522,0,Q6581072,Q6581072,Q6581072,Female
Q21064523,0,Q6581072,Q6581072,Q6581072,Female
Q21064526,0,Q6581072,Q6581072,Q6581072,Female
Q21064525,0,Q6581072,Q6581072,Q6581072,Female
Q21066211,0,Q6581072,Q6581072,Q6581072,Female
Q21066212,0,Q6581072,Q6581072,Q6581072,Female
Q21066213,0,Q6581072,Q6581072,Q6581072,Female
Q21066510,0,Q6581097,Q6581097,Q6581097,Male
