qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q1009230,1,Q6581097,Q6581097,Q6581097,Male
Q1036808,1,Q6581097,Q6581097,Q6581097,Male
Q1045853,1,Q6581097,Q6581097,Q6581097,Male
Q1045973,1,Q6581097,Q6581097,Q6581097,Male
Q1045997,1,Q6581097,Q6581097,Q6581097,Male
Q1046003,1,Q6581097,Q6581097,Q6581097,Male
Q1046009,1,Q6581097,Q6581097,Q6581097,Male
Q1046021,1,Q6581097,Q6581097,Q6581097,Male
Q1046192,1,Q6581097,Q6581097,Q6581097,Male
Q1046276,1,Q6581097,Q6581097,Q6581097,Male
Q1046297,1,Q6581097,Q6581097,Q6581097,Male
Q1046306,1,Q6581097,Q6581097,Q6581097,Male
Q1046313,1,Q6581072,Q6581072,Q6581072,Female
Q1047017,1,Q6581097,Q6581097,Q6581097,Male
Q1047319,1,Q6581097,Q6581097,Q6581097,Male
Q1047836,0,Q6581097,Q6581097,Q6581097,Male
Q1048743,1,Q6581097,Q6581097,Q6581097,Male
Q1058378,1,Q6581097,Q6581097,Q6581097,Male
Q1072565,1,Q6581097,Q6581097,Q6581097,Male
Q1074511,1,Q6581097,Q6581097,Q6581097,Male
Q1076093,1,Q6581072,Q6581072,Q6581072,Female
Q1087691,1,Q6581097,Q6581097,Q6581097,Male
Q1087714,1,Q6581097,Q6581097,Q6581097,Male
Q1088352,1,Q6581072,Q6581072,Q6581072,Female
Q1100579,1,Q6581097,Q6581097,Q6581097,Male
Q1106371,1,Q6581097,Q6581097,Q6581097,Male
Q1109100,0,Q6581097,Q6581097,Q6581097,Male
Q1114554,0,Q6581072,Q6581072,Q6581072,Female
Q1119664,0,Q6581097,Q6581097,Q6581097,Male
Q1150775,1,Q6581097,Q6581097,Q6581097,Male
Q1152935,1,Q6581097,Q6581097,Q6581097,Male
Q1163980,0,Q6581097,Q6581097,Q6581097,Male
Q1166400,1,Q6581097,Q6581097,Q6581097,Male
Q1173026,1,Q6581097,Q6581097,Q6581097,Male
Q1187035,0,Q6581097,Q6581097,Q6581097,Male
Q1187554,0,Q6581097,Q6581097,Q6581097,Male
Q1187703,0,Q6581097,Q6581097,Q6581097,Male
Q1187706,0,Q6581097,Q6581097,Q6581097,Male
Q1195698,0,Q6581097,Q6581097,Q6581097,Male
Q1226580,1,Q6581097,Q6581097,Q6581097,Male
Q1228296,0,Q6581072,Q6581072,Q6581072,Female
Q1229829,1,Q6581097,Q6581097,Q6581097,Male
Q1232383,0,Q6581097,Q6581097,Q6581097,Male
Q1232460,1,Q6581097,Q6581097,Q6581097,Male
Q1232640,0,Q6581097,Q6581097,Q6581097,Male
Q1232649,0,Q6581097,Q6581097,Q6581097,Male
Q1232689,1,Q6581097,Q6581097,Q6581097,Male
Q1234192,0,Q6581097,Q6581097,Q6581097,Male
Q1235398,1,Q6581097,Q6581097,Q6581097,Male
Q1251008,1,Q6581097,Q6581097,Q6581097,Male
Q1255869,0,Q6581097,Q6581097,Q6581097,Male
Q1256541,1,Q6581097,Q6581097,Q6581097,Male
Q1266811,1,Q6581097,Q6581097,Q6581097,Male
Q1267689,0,Q6581097,Q6581097,Q6581097,Male
Q1279733,0,Q6581097,Q6581097,Q6581097,Male
Q1284671,0,Q6581097,Q6581097,Q6581097,Male
Q1302590,0,Q6581072,Q6581072,Q6581072,Female
Q1308418,0,Q6581097,Q6581097,Q6581097,Male
Q1319967,0,Q6581097,Q6581097,Q6581097,Male
Q1327898,0,Q6581072,Q6581072,Q6581072,Female
Q1333027,0,Q6581072,Q6581072,Q6581072,Female
Q1349090,0,Q6581097,Q6581097,Q6581097,Male
Q1355800,0,Q6581097,Q6581097,Q6581097,Male
Q1355980,1,Q6581097,Q6581097,Q6581097,Male
Q1363076,0,Q6581097,Q6581097,Q6581097,Male
Q1364482,0,Q6581097,Q6581097,Q6581097,Male
Q1365223,0,Q6581097,Q6581097,Q6581097,Male
Q1365549,1,Q6581097,Q6581097,Q6581097,Male
Q1371557,0,Q6581097,Q6581097,Q6581097,Male
Q1377512,1,Q6581097,Q6581097,Q6581097,Male
Q1377525,1,Q6581097,Q6581097,Q6581097,Male
Q1377572,1,Q6581097,Q6581097,Q6581097,Male
Q1377697,1,Q6581097,Q6581097,Q6581097,Male
Q1377739,1,Q6581097,Q6581097,Q6581097,Male
Q1377798,1,Q6581097,Q6581097,Q6581097,Male
Q1378405,1,Q6581097,Q6581097,Q6581097,Male
Q1379417,0,Q6581097,Q6581097,Q6581097,Male
Q1383931,1,Q6581097,Q6581097,Q6581097,Male
Q1384003,1,Q6581097,Q6581097,Q6581097,Male
Q1385647,0,Q6581097,Q6581097,Q6581097,Male
Q1386374,0,Q6581097,Q6581097,Q6581097,Male
Q1386531,0,Q6581097,Q6581097,Q6581097,Male
Q1389063,0,Q6581097,Q6581097,Q6581097,Male
Q1389422,0,Q6581097,Q6581097,Q6581097,Male
Q1389615,1,Q6581072,Q6581072,Q6581072,Female
Q1390128,1,Q6581097,Q6581097,Q6581097,Male
Q1392566,0,Q6581097,Q6581097,Q6581097,Male
Q1393082,0,Q6581097,Q6581097,Q6581097,Male
Q1393406,0,Q6581097,Q6581097,Q6581097,Male
Q1393528,0,Q6581097,Q6581097,Q6581097,Male
Q1397351,0,Q6581072,Q6581072,Q6581072,Female
Q1398049,0,Q6581097,Q6581097,Q6581097,Male
Q1398123,1,Q6581097,Q6581097,Q6581097,Male
Q1400186,1,Q6581097,Q6581097,Q6581097,Male
Q1400689,0,Q6581097,Q6581097,Q6581097,Male
Q1429004,1,Q6581072,Q6581072,Q6581072,Female
Q1432108,1,Q6581097,Q6581097,Q6581097,Male
Q1436649,0,Q6581072,Q6581072,Q6581072,Female
Q1437015,1,Q6581097,Q6581097,Q6581097,Male
Q1437193,0,Q6581097,Q6581097,Q6581097,Male
Q77450,1,Q6581097,Q6581097,Q6581097,Male
Q94394,1,Q6581097,Q6581097,Q6581097,Male
Q112047,0,Q6581072,Q6581072,Q6581072,Female
Q115204,1,Q6581097,Q6581097,Q6581097,Male
Q115212,1,Q6581097,Q6581097,Q6581097,Male
Q115303,1,Q6581097,Q6581097,Q6581097,Male
Q127350,1,Q6581097,Q6581097,Q6581097,Male
Q128239,1,Q6581097,Q6581097,Q6581097,Male
Q128357,0,Q6581097,Q6581097,Q6581097,Male
Q132083,1,Q6581097,Q6581097,Q6581097,Male
Q164370,0,Q6581097,Q6581097,Q6581097,Male
Q166846,1,Q6581097,Q6581097,Q6581097,Male
Q179190,0,Q6581097,Q6581097,Q6581097,Male
Q181366,1,Q6581097,Q6581097,Q6581097,Male
Q185782,0,Q6581097,Q6581097,Q6581097,Male
Q200881,1,Q6581097,Q6581097,Q6581097,Male
Q208876,0,Q6581072,Q6581072,Q6581072,Female
Q209639,1,Q6581097,Q6581097,Q6581097,Male
Q222747,0,Q6581097,Q6581097,Q6581097,Male
Q224790,1,Q6581097,Q6581097,Q6581097,Male
Q229073,1,Q6581072,Q6581072,Q6581072,Female
Q230881,0,Q6581072,Q6581072,Q6581072,Female
Q232613,0,Q6581072,Q6581072,Q6581072,Female
Q232764,1,Q6581072,Q6581072,Q6581072,Female
Q233231,0,Q6581072,Q6581072,Q6581072,Female
Q234831,1,Q6581072,Q6581072,Q6581072,Female
Q240307,0,Q6581097,Q6581097,Q6581097,Male
Q252769,1,Q6581097,Q6581097,Q6581097,Male
Q252860,1,Q6581097,Q6581097,Q6581097,Male
Q254132,1,Q6581072,Q6581072,Q6581072,Female
Q254220,1,Q6581072,Q6581072,Q6581072,Female
Q254313,1,Q6581072,Q6581072,Q6581072,Female
Q254415,1,Q6581097,Q6581097,Q6581097,Male
Q256141,1,Q6581097,Q6581097,Q6581097,Male
Q260599,0,Q6581097,Q6581097,Q6581097,Male
Q264664,0,Q6581097,Q6581097,Q6581097,Male
Q272543,0,Q6581072,Q6581072,Q6581072,Female
Q272817,0,Q6581072,Q6581072,Q6581072,Female
Q275299,0,Q6581097,Q6581097,Q6581097,Male
Q275833,1,Q6581097,Q6581097,Q6581097,Male
Q277506,1,Q6581097,Q6581097,Q6581097,Male
Q285823,1,Q6581097,Q6581097,Q6581097,Male
Q286961,1,Q6581097,Q6581097,Q6581097,Male
Q291857,1,Q6581072,Q6581072,Q6581072,Female
Q292930,1,Q6581072,Q6581072,Q6581072,Female
Q295991,1,Q6581097,Q6581097,Q6581097,Male
Q324950,1,Q6581097,Q6581097,Q6581097,Male
Q325063,1,Q6581097,Q6581097,Q6581097,Male
Q327205,1,Q6581097,Q6581097,Q6581097,Male
Q338811,1,Q6581097,Q6581097,Q6581097,Male
Q340559,1,Q6581097,Q6581097,Q6581097,Male
Q340561,1,Q6581097,Q6581097,Q6581097,Male
Q344854,1,Q6581097,Q6581097,Q6581097,Male
Q357131,1,Q6581097,Q6581097,Q6581097,Male
Q357241,1,Q6581097,Q6581097,Q6581097,Male
Q358552,1,Q6581097,Q6581097,Q6581097,Male
Q361798,0,Q6581097,Q6581097,Q6581097,Male
Q366412,1,Q6581097,Q6581097,Q6581097,Male
Q367146,1,Q6581097,Q6581097,Q6581097,Male
Q370989,0,Q6581097,Q6581097,Q6581097,Male
Q374837,1,Q6581097,Q6581097,Q6581097,Male
Q375085,1,Q6581097,Q6581097,Q6581097,Male
Q375521,0,Q6581097,Q6581097,Q6581097,Male
Q376532,1,Q6581072,Q6581072,Q6581072,Female
Q377012,0,Q6581097,Q6581097,Q6581097,Male
Q380247,1,Q6581097,Q6581097,Q6581097,Male
Q380254,1,Q6581097,Q6581097,Q6581097,Male
Q382518,1,Q6581097,Q6581097,Q6581097,Male
Q382710,0,Q6581097,Q6581097,Q6581097,Male
Q390913,1,Q6581097,Q6581097,Q6581097,Male
Q417490,1,Q6581097,Q6581097,Q6581097,Male
Q429155,0,Q6581097,Q6581097,Q6581097,Male
Q430283,0,Q6581097,Q6581097,Q6581097,Male
Q432015,1,Q6581097,Q6581097,Q6581097,Male
Q433416,0,Q6581097,Q6581097,Q6581097,Male
Q435078,1,Q6581097,Q6581097,Q6581097,Male
Q435303,1,Q6581097,Q6581097,Q6581097,Male
Q435617,1,Q6581097,Q6581097,Q6581097,Male
Q435635,1,Q6581097,Q6581097,Q6581097,Male
Q437076,0,Q6581097,Q6581097,Q6581097,Male
Q440700,1,Q6581072,Q6581072,Q6581072,Female
Q441386,1,Q6581072,Q6581072,Q6581072,Female
Q442229,1,Q6581097,Q6581097,Q6581097,Male
Q444924,0,Q6581072,Q6581072,Q6581072,Female
Q445324,0,Q6581097,Q6581097,Q6581097,Male
Q448407,1,Q6581097,Q6581097,Q6581097,Male
Q448460,0,Q6581097,Q6581097,Q6581097,Male
Q448689,0,Q6581097,Q6581097,Q6581097,Male
Q449259,0,Q6581097,Q6581097,Q6581097,Male
Q452328,0,Q6581097,Q6581097,Q6581097,Male
Q452956,1,Q6581072,Q6581072,Q6581072,Female
Q453535,0,Q6581097,Q6581097,Q6581097,Male
Q454472,0,Q6581072,Q6581072,Q6581072,Female
Q455454,1,Q6581097,Q6581097,Q6581097,Male
Q458069,0,Q6581097,Q6581097,Q6581097,Male
Q459166,1,Q6581097,Q6581097,Q6581097,Male
Q459936,1,Q6581072,Q6581072,Q6581072,Female
Q460465,0,Q6581072,Q6581072,Q6581072,Female
Q461014,1,Q6581097,Q6581097,Q6581097,Male
Q461051,1,Q6581097,Q6581097,Q6581097,Male
Q461089,1,Q6581097,Q6581097,Q6581097,Male
Q461565,1,Q6581072,Q6581072,Q6581072,Female
Q461756,0,Q6581072,Q6581072,Q6581072,Female
Q462018,0,Q6581097,Q6581097,Q6581097,Male
Q462119,1,Q6581097,Q6581097,Q6581097,Male
Q464132,0,Q6581097,Q6581097,Q6581097,Male
Q464206,1,Q6581097,Q6581097,Q6581097,Male
Q464735,1,Q6581072,Q6581072,Q6581072,Female
Q464740,1,Q6581072,Q6581072,Q6581072,Female
Q464765,1,Q6581072,Q6581072,Q6581072,Female
Q464784,1,Q6581072,Q6581072,Q6581072,Female
Q464840,1,Q6581072,Q6581072,Q6581072,Female
Q464847,1,Q6581072,Q6581072,Q6581072,Female
Q465885,0,Q6581097,Q6581097,Q6581097,Male
Q465990,1,Q6581097,Q6581097,Q6581097,Male
Q466542,1,Q6581072,Q6581072,Q6581072,Female
Q466560,1,Q6581072,Q6581072,Q6581072,Female
Q466910,0,Q6581097,Q6581097,Q6581097,Male
Q467543,0,Q6581097,Q6581097,Q6581097,Male
Q468258,1,Q6581097,Q6581097,Q6581097,Male
Q471438,1,Q6581097,Q6581097,Q6581097,Male
Q472014,0,Q6581097,Q6581097,Q6581097,Male
Q472152,0,Q6581097,Q6581097,Q6581097,Male
Q475565,0,Q6581097,Q6581097,Q6581097,Male
Q477337,0,Q6581097,Q6581097,Q6581097,Male
Q487649,0,Q6581097,Q6581097,Q6581097,Male
Q487780,0,Q6581097,Q6581097,Q6581097,Male
Q487950,1,Q6581097,Q6581097,Q6581097,Male
Q488279,0,Q6581097,Q6581097,Q6581097,Male
Q496663,0,Q6581097,Q6581097,Q6581097,Male
Q501925,0,Q6581097,Q6581097,Q6581097,Male
Q501997,1,Q6581097,Q6581097,Q6581097,Male
Q502019,0,Q6581097,Q6581097,Q6581097,Male
Q502152,0,Q6581097,Q6581097,Q6581097,Male
Q502202,1,Q6581097,Q6581097,Q6581097,Male
Q502203,1,Q6581097,Q6581097,Q6581097,Male
Q502256,0,Q6581097,Q6581097,Q6581097,Male
Q502275,0,Q6581097,Q6581097,Q6581097,Male
Q502383,1,Q6581097,Q6581097,Q6581097,Male
Q502477,0,Q6581097,Q6581097,Q6581097,Male
Q502648,0,Q6581097,Q6581097,Q6581097,Male
Q502659,0,Q6581097,Q6581097,Q6581097,Male
Q502759,0,Q6581097,Q6581097,Q6581097,Male
Q502915,0,Q6581097,Q6581097,Q6581097,Male
Q503024,0,Q6581097,Q6581097,Q6581097,Male
Q510037,1,Q6581097,Q6581097,Q6581097,Male
Q510510,0,Q6581097,Q6581097,Q6581097,Male
Q514731,0,Q6581072,Q6581072,Q6581072,Female
Q515803,0,Q6581072,Q6581072,Q6581072,Female
Q516178,1,,MISSING,Q6581072,Female
Q525722,0,,MISSING,Q6581072,Female
Q527063,1,,MISSING,Q6581097,Male
Q527078,1,,MISSING,Q6581097,Male
Q527123,1,,MISSING,Q6581097,Male
Q528484,1,,MISSING,Q6581097,Male
Q529518,1,,MISSING,Q6581072,Female
Q530752,1,,MISSING,Q6581097,Male
Q534137,1,,MISSING,Q6581072,Female
Q535976,1,,MISSING,Q6581097,Male
Q539483,1,,MISSING,Q6581072,Female
Q539539,1,,MISSING,Q6581097,Male
Q542596,0,,MISSING,Q6581097,Male
Q544836,1,,MISSING,Q6581097,Male
Q546327,1,,MISSING,Q6581097,Male
Q553574,0,,MISSING,Q6581097,Male
Q553642,1,,MISSING,Q6581097,Male
Q555377,0,,MISSING,Q6581097,Male
Q558567,1,,MISSING,Q6581097,Male
Q560296,1,,MISSING,Q6581097,Male
Q560301,1,,MISSING,Q6581097,Male
Q560349,1,,MISSING,Q6581097,Male
Q560360,1,,MISSING,Q6581097,Male
Q560365,1,,MISSING,Q6581097,Male
Q560378,1,,MISSING,Q6581097,Male
Q560383,1,,MISSING,Q6581097,Male
Q568089,0,,MISSING,Q6581097,Male
Q573172,1,,MISSING,Q6581097,Male
Q574151,0,,MISSING,Q6581097,Male
Q574948,1,,MISSING,Q6581097,Male
Q584510,0,,MISSING,Q6581097,Male
Q589598,1,,MISSING,Q6581097,Male
Q592266,0,,MISSING,Q6581097,Male
Q595186,0,,MISSING,Q6581097,Male
Q595939,1,,MISSING,Q6581097,Male
Q602087,1,,MISSING,Q6581097,Male
Q602658,0,,MISSING,Q6581097,Male
Q609798,0,,MISSING,Q6581097,Male
Q611014,0,,MISSING,Q6581097,Male
Q612317,1,,MISSING,Q6581097,Male
Q616292,0,,MISSING,Q6581097,Male
Q622768,1,,MISSING,Q6581097,Male
Q639162,0,,MISSING,Q6581097,Male
Q653133,0,,MISSING,Q6581097,Male
Q654394,1,,MISSING,Q6581097,Male
Q664728,1,,MISSING,Q6581097,Male
Q667823,1,,MISSING,Q6581097,Male
Q672829,0,,MISSING,Q6581097,Male
Q674151,0,,MISSING,Q6581097,Male
Q676967,1,,MISSING,Q6581097,Male
Q676981,1,,MISSING,Q6581097,Male
Q683838,0,,MISSING,Q6581097,Male
Q701515,1,,MISSING,Q6581097,Male
Q705098,0,,MISSING,Q6581097,Male
Q706620,0,,MISSING,Q6581097,Male
Q707102,0,,MISSING,Q6581097,Male
Q713470,0,,MISSING,Q6581097,Male
Q716035,0,,MISSING,Q6581097,Male
Q717645,1,,MISSING,Q6581097,Male
Q721179,1,,MISSING,Q6581097,Male
Q722079,1,,MISSING,Q6581097,Male
Q723866,1,,MISSING,Q6581097,Male
Q729610,1,,MISSING,Q6581097,Male
Q729641,1,,MISSING,Q6581097,Male
Q729658,1,,MISSING,Q6581097,Male
Q731118,1,,MISSING,Q6581097,Male
Q732542,1,,MISSING,Q6581097,Male
Q732574,0,,MISSING,Q6581097,Male
Q739222,1,,MISSING,Q6581097,Male
Q755572,1,,MISSING,Q6581072,Female
Q756148,1,,MISSING,Q6581072,Female
Q769828,0,,MISSING,Q6581072,Female
Q774964,1,,MISSING,Q6581072,Female
Q779506,0,,MISSING,Q6581097,Male
Q789083,1,,MISSING,Q6581097,Male
Q798254,1,,MISSING,Q6581097,Male
Q798262,0,,MISSING,Q6581097,Male
Q811973,1,,MISSING,Q6581097,Male
Q814637,1,,MISSING,Q6581097,Male
Q822792,1,,MISSING,Q6581097,Male
Q832251,0,,MISSING,Q6581097,Male
Q836162,0,,MISSING,Q6581072,Female
Q857546,1,,MISSING,Q6581097,Male
Q865862,0,,MISSING,Q6581097,Male
Q866100,0,,MISSING,Q6581097,Male
Q867868,0,,MISSING,Q6581097,Male
Q890847,0,,MISSING,Q6581072,Female
Q891263,0,,MISSING,Q6581097,Male
Q891849,1,,MISSING,Q6581072,Female
Q893800,1,,MISSING,Q6581097,Male
Q898119,0,,MISSING,Q6581097,Male
Q899510,1,,MISSING,Q6581097,Male
Q909951,0,,MISSING,Q6581097,Male
Q910751,1,,MISSING,Q6581097,Male
Q911281,1,,MISSING,Q6581097,Male
Q919053,0,,MISSING,Q6581097,Male
Q919896,0,,MISSING,Q6581097,Male
Q921538,1,,MISSING,Q6581072,Female
Q922509,1,,MISSING,Q6581097,Male
Q923792,1,,MISSING,Q6581097,Male
Q924356,0,,MISSING,Q6581097,Male
Q931505,1,,MISSING,Q6581097,Male
Q931958,1,,MISSING,Q6581097,Male
Q932038,1,,MISSING,Q6581097,Male
Q936432,0,,MISSING,Q6581097,Male
Q938109,0,,MISSING,Q6581097,Male
Q938191,0,,MISSING,Q6581097,Male
Q939474,0,,MISSING,Q6581097,Male
Q941970,0,,MISSING,Q6581097,Male
Q950162,0,,MISSING,Q6581097,Male
Q950172,0,,MISSING,Q6581097,Male
Q951230,0,,MISSING,Q6581072,Female
Q952638,0,,MISSING,Q6581097,Male
Q954823,1,,MISSING,Q6581097,Male
Q957162,0,,MISSING,Q6581097,Male
Q962787,1,,MISSING,Q6581097,Male
Q963013,0,,MISSING,Q6581097,Male
Q963924,1,,MISSING,Q6581097,Male
Q964688,0,,MISSING,Q6581072,Female
Q964712,0,,MISSING,Q6581097,Male
Q964931,1,,MISSING,Q6581097,Male
Q967297,0,,MISSING,Q6581097,Male
Q968213,0,,MISSING,Q6581097,Male
Q970546,1,,MISSING,Q6581097,Male
Q971494,1,,MISSING,Q6581097,Male
Q976179,0,,MISSING,Q6581097,Male
Q976616,1,,MISSING,Q6581097,Male
Q976657,1,,MISSING,Q6581097,Male
Q978489,1,,MISSING,Q6581097,Male
Q981058,1,,MISSING,Q6581097,Male
Q981074,1,,MISSING,Q6581097,Male
Q981103,1,,MISSING,Q6581097,Male
Q981118,1,,MISSING,Q6581097,Male
Q981142,1,,MISSING,Q6581097,Male
Q981145,1,,MISSING,Q6581097,Male
Q981187,1,,MISSING,Q6581097,Male
Q982296,1,,MISSING,Q6581097,Male
Q983522,1,,MISSING,Q6581097,Male
Q984224,0,,MISSING,Q6581097,Male
Q984307,1,,MISSING,Q6581097,Male
Q984618,1,,MISSING,Q6581097,Male
Q1448548,0,,MISSING,Q6581097,Male
Q1458568,0,,MISSING,Q6581097,Male
Q1459251,1,,MISSING,Q6581097,Male
Q1472457,1,,MISSING,Q6581097,Male
Q1486331,0,,MISSING,Q6581097,Male
Q1491329,1,,MISSING,Q6581072,Female
Q1492107,0,,MISSING,Q6581072,Female
Q1492104,0,,MISSING,Q6581072,Female
Q1492846,0,,MISSING,Q6581097,Male
Q1520580,1,,MISSING,Q6581097,Male
Q1521334,1,,MISSING,Q6581097,Male
Q1534884,1,,MISSING,Q6581072,Female
Q1541504,0,,MISSING,Q6581097,Male
Q1569469,0,,MISSING,Q6581097,Male
Q1587282,0,,MISSING,Q6581097,Male
Q1606287,0,,MISSING,Q6581097,Male
Q1641885,0,,MISSING,Q6581097,Male
Q1648716,0,,MISSING,Q6581097,Male
Q1657680,0,,MISSING,Q6581097,Male
Q1657810,1,,MISSING,Q6581097,Male
Q1658615,0,,MISSING,Q6581097,Male
Q1658645,0,,MISSING,Q6581097,Male
Q1672181,1,,MISSING,Q6581097,Male
Q1672648,0,,MISSING,Q6581072,Female
Q1672678,0,,MISSING,Q6581072,Female
Q1674158,0,,MISSING,Q6581097,Male
Q1675595,0,,MISSING,Q6581097,Male
Q1675926,0,,MISSING,Q6581097,Male
Q1676011,0,,MISSING,Q6581097,Male
Q1686645,0,,MISSING,Q6581072,Female
Q1687659,1,,MISSING,Q6581097,Male
Q1688631,0,,MISSING,Q6581097,Male
Q1688653,0,,MISSING,Q6581097,Male
Q1688680,0,,MISSING,Q6581097,Male
Q1706393,0,,MISSING,Q6581097,Male
Q1706483,0,,MISSING,Q6581097,Male
Q1713903,0,,MISSING,Q6581097,Male
Q1717736,0,,MISSING,Q6581097,Male
Q1719451,1,,MISSING,Q6581097,Male
Q1721851,1,,MISSING,Q6581097,Male
Q1721852,1,,MISSING,Q6581097,Male
Q1722547,1,,MISSING,Q6581097,Male
Q1747488,1,,MISSING,Q6581097,Male
Q1749896,0,,MISSING,Q6581097,Male
Q1754694,1,,MISSING,Q6581097,Male
Q1756671,0,,MISSING,Q6581072,Female
Q1757267,0,,MISSING,Q6581097,Male
Q1769589,1,,MISSING,Q6581097,Male
Q1771929,0,,MISSING,Q6581097,Male
Q1775487,1,,MISSING,Q6581097,Male
Q1782742,0,,MISSING,Q6581097,Male
Q1782764,0,,MISSING,Q6581097,Male
Q1782809,0,,MISSING,Q6581097,Male
Q1788279,1,,MISSING,Q6581097,Male
Q1815917,0,,MISSING,Q6581097,Male
Q1825451,1,,MISSING,Q6581072,Female
Q1841423,1,,MISSING,Q6581097,Male
Q1842193,1,,MISSING,Q6581097,Male
Q1849512,0,,MISSING,Q6581097,Male
Q1856100,1,,MISSING,Q6581097,Male
Q1866766,0,,MISSING,Q6581072,Female
Q1873329,0,,MISSING,Q6581097,Male
Q1884670,0,,MISSING,Q6581097,Male
Q1886526,0,,MISSING,Q6581097,Male
Q1892315,1,,MISSING,Q6581097,Male
Q1895187,0,,MISSING,Q6581072,Female
Q1900070,1,,MISSING,Q6581097,Male
Q1913816,1,,MISSING,Q6581097,Male
Q1913829,1,,MISSING,Q6581097,Male
Q1913833,0,,MISSING,Q6581097,Male
Q1930267,1,,MISSING,Q6581097,Male
Q1952525,0,,MISSING,Q6581097,Male
Q1953571,1,,MISSING,Q6581097,Male
Q1963481,1,,MISSING,Q6581097,Male
Q1963965,0,,MISSING,Q6581097,Male
Q1967799,1,,MISSING,Q6581097,Male
Q1971390,0,,MISSING,Q6581097,Male
Q1972850,0,,MISSING,Q6581072,Female
Q1984107,1,,MISSING,Q6581097,Male
Q1990796,0,,MISSING,Q6581097,Male
Q1995708,1,,MISSING,Q6581097,Male
Q2005414,0,,MISSING,Q6581097,Male
Q2019276,1,,MISSING,Q6581097,Male
Q2019280,0,,MISSING,Q6581097,Male
Q2019433,0,,MISSING,Q6581072,Female
Q2019703,0,,MISSING,Q6581072,Female
Q2019714,0,,MISSING,Q6581072,Female
Q2019722,0,,MISSING,Q6581072,Female
Q2019724,0,,MISSING,Q6581072,Female
Q2023257,0,,MISSING,Q6581097,Male
Q2026111,1,,MISSING,Q6581072,Female
Q2027626,1,,MISSING,Q6581097,Male
Q2029855,0,,MISSING,Q6581097,Male
Q2031373,0,,MISSING,Q6581097,Male
Q2034781,0,,MISSING,Q6581097,Male
Q2036001,1,,MISSING,Q6581097,Male
Q2039441,0,,MISSING,Q6581097,Male
Q2062590,1,,MISSING,Q6581097,Male
Q2063190,0,,MISSING,Q6581097,Male
Q2070757,0,,MISSING,Q6581072,Female
Q2082981,1,,MISSING,Q6581097,Male
Q2107164,0,,MISSING,Q6581072,Female
Q2107364,0,,MISSING,Q6581097,Male
Q2107402,0,,MISSING,Q6581097,Male
Q2107667,1,,MISSING,Q6581072,Female
Q2108153,1,,MISSING,Q6581097,Male
Q2108313,0,,MISSING,Q6581097,Male
Q2154705,0,,MISSING,Q6581097,Male
Q2164743,0,,MISSING,Q6581097,Male
Q2176851,0,,MISSING,Q6581097,Male
Q2178182,0,,MISSING,Q6581097,Male
Q2178909,0,,MISSING,Q6581072,Female
Q2202217,0,,MISSING,Q6581097,Male
Q2226067,1,,MISSING,Q6581097,Male
Q2226968,1,,MISSING,Q6581097,Male
Q2230880,1,,MISSING,Q6581072,Female
Q2250110,0,,MISSING,Q6581072,Female
Q2260327,0,,MISSING,Q6581097,Male
Q2260606,0,,MISSING,Q6581072,Female
Q2261644,0,,MISSING,Q6581097,Male
Q2267979,0,,MISSING,Q6581097,Male
Q2272512,0,,MISSING,Q6581097,Male
Q2272963,0,,MISSING,Q6581097,Male
Q2272966,0,,MISSING,Q6581097,Male
Q2320454,0,,MISSING,Q6581097,Male
Q2330636,0,,MISSING,Q6581097,Male
Q2342370,0,,MISSING,Q6581097,Male
Q2342687,1,,MISSING,Q6581097,Male
Q2345842,0,,MISSING,Q6581097,Male
Q2346510,0,,MISSING,Q6581097,Male
Q2347545,0,,MISSING,Q6581097,Male
Q2348581,0,,MISSING,Q6581072,Female
Q2355755,0,,MISSING,Q6581097,Male
Q2357031,0,,MISSING,Q6581097,Male
Q2372736,0,,MISSING,Q6581072,Female
Q2374467,1,,MISSING,Q6581097,Male
Q2375002,0,,MISSING,Q6581097,Male
Q2380553,1,,MISSING,Q6581097,Male
Q2386511,0,,MISSING,Q6581097,Male
Q2391190,1,,MISSING,Q6581072,Female
Q2391790,0,,MISSING,Q6581072,Female
Q2395662,0,,MISSING,Q6581072,Female
Q2400533,0,,MISSING,Q6581072,Female
Q2417517,0,,MISSING,Q6581097,Male
Q2429984,1,,MISSING,Q6581072,Female
Q2444320,1,,MISSING,Q6581097,Male
Q2450518,1,,MISSING,Q6581097,Male
Q2464001,1,,MISSING,Q6581097,Male
Q2466357,1,,MISSING,Q6581072,Female
Q2466379,1,,MISSING,Q6581097,Male
Q2471041,1,,MISSING,Q6581072,Female
Q2471516,1,,MISSING,Q6581097,Male
Q2479354,0,,MISSING,Q6581097,Male
Q2501357,0,,MISSING,Q6581072,Female
Q2502828,1,,MISSING,Q6581097,Male
Q2536822,0,,MISSING,Q6581097,Male
Q2538754,0,,MISSING,Q6581097,Male
Q2538766,0,,MISSING,Q6581097,Male
Q2538812,1,,MISSING,Q6581097,Male
Q2542175,1,,MISSING,Q6581097,Male
Q2542214,0,,MISSING,Q6581097,Male
Q2542723,1,,MISSING,Q6581097,Male
Q2560080,1,,MISSING,Q6581097,Male
Q2567676,1,,MISSING,Q6581097,Male
Q2570017,1,,MISSING,Q6581097,Male
