p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q848991,1,374.0,374.0,6.0,6.0,0.0,0.0,9.0,9.0,0,1,0,0,0,,,,0.0,100.0,0.0,0.0,0.0
Q849095,1,2211.0,2211.0,32.0,32.0,2.0,2.0,83.0,83.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q849392,4,105.5,185.75,2.0,1.75,1.0,1.25,3.0,5.75,0,0,3,0,0,,,,0.0,0.0,75.0,0.0,0.0
Q849730,3,195.0,223.0,1.0,1.33,0.0,1.0,11.0,12.33,0,2,2,0,0,,,,0.0,66.67,66.67,0.0,0.0
Q849866,3,1099.0,1043.33,5.0,5.0,1.0,1.33,86.0,80.33,0,1,0,0,0,,,,0.0,33.33,0.0,0.0,0.0
Q8502,1047,197.0,205.3,1.0,1.08,0.0,0.1,9.0,9.13,51,968,957,40,16,mountain,тау,гора,4.87,92.45,91.4,3.82,1.53
Q851176,1,121.0,121.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q8513,5,152.0,650.0,0.0,10.2,0.0,0.4,7.0,6.4,3,3,3,3,2,,,,60.0,60.0,60.0,60.0,40.0
Q8514,34,183.0,238.74,1.0,0.97,0.0,0.74,9.5,15.29,13,22,27,12,7,desert,Шөл,пустыня,38.24,64.71,79.41,35.29,20.59
Q851587,2,66.5,66.5,1.0,1.0,0.5,0.5,1.5,1.5,1,1,2,1,0,,,,50.0,50.0,100.0,50.0,0.0
Q851830,19,241.0,240.26,0.0,0.0,0.0,0.0,8.0,8.37,19,19,16,16,16,,,,100.0,100.0,84.21,84.21,84.21
Q851990,6,536.0,499.33,1.0,2.17,1.0,2.17,9.5,30.33,2,2,2,1,0,,,,33.33,33.33,33.33,16.67,0.0
