p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q26213387,17,15,2,88.24,1,0,0,1.5,Olympic delegation,Olympic delegation,страна на Олимпийских играх
Q2624046,1,1,0,100.0,0,0,0,,,,
Q2628882,1,0,1,0.0,1,0,0,2.0,legal status,legal status,правовой статус
Q2643128,177,177,0,100.0,0,0,0,,,,
Q265662,2,2,0,100.0,0,0,0,,,,
Q2659904,2,2,0,100.0,0,0,0,,,,
Q2674774,1,1,0,100.0,0,0,0,,,,
Q268592,1,1,0,100.0,0,0,0,,,,
Q26884324,2,0,2,0.0,1,0,0,1.5,Wikimedia outline article,Wikimedia outline article,обзорная статья Викимедиа
Q26887310,118,0,118,0.0,15,0,0,1.13,association football team season,association football team season,сезон футбольной команды
Q26887428,3,0,3,0.0,2,0,0,2.0,nation at competition,nation at competition,страна на соревновании
Q2693624,14,14,0,100.0,0,0,0,,,,
Q26958726,1,0,1,0.0,1,0,0,2.0,geological museum,geological museum,геологический музей
Q269949,2,1,1,50.0,1,0,0,2.0,highway,автомобиль жолы,автомобильная дорога
Q27002,1,0,1,0.0,0,0,0,1.0,selsoviet,selsoviet,сельсовет в СССР
Q27020041,265,115,150,43.4,110,36,12,3.99,sports season,sports season,розыгрыш спортивного турнира
Q27020779,2,0,2,0.0,0,0,0,1.0,ice hockey team season,ice hockey team season,хоккейный сезон
Q27028153,2,0,2,0.0,0,0,0,1.0,tram depot,tram depot,трамвайное депо
Q27032363,1,1,0,100.0,0,0,0,,,,
Q27062006,2,2,0,100.0,0,0,0,,,,
Q27067659,2,1,1,50.0,1,0,0,2.0,former river,former river,бывшая река
Q270791,3,2,1,66.67,0,0,0,1.0,state-owned enterprise,Мемлекеттік Кәсіпорын,государственное предприятие
Q272231,2,1,1,50.0,0,0,0,1.0,arboretum,екпетоғай,дендрарий
Q273120,2,2,0,100.0,0,0,0,,,,
Q2739132,1,0,1,0.0,1,1,0,6.0,World Allround Speed Skating Championships for Men,World Allround Speed Skating Championships for Men,Чемпионат мира по конькобежному спорту в классическом многоборье — мужчины
