p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q1002697,1,1,0,100.0,0,0,0,,,,
Q100282728,1,1,0,100.0,0,0,0,,,,
Q1003207,2,0,2,0.0,1,0,0,1.5,photovoltaic power station,Күн Электр Стансасы,Фотоэлектрическая солнечная электростанция
Q100773131,3,3,0,100.0,0,0,0,,,,
Q100786919,2,0,2,0.0,2,2,2,10.5,Almaty Open,Almaty Open,Открытый чемпионат Алма-Аты по теннису
Q100900880,1,1,0,100.0,0,0,0,,,,
Q101401,1,1,0,100.0,0,0,0,,,,
Q102421356,1,0,1,0.0,0,0,0,1.0,national pavillon,national pavillon,national pavillon
Q102496,5,0,5,0.0,1,0,0,1.2,parish,parish,церковный приход
Q1029418,1,1,0,100.0,0,0,0,,,,
Q10313934,3,0,3,0.0,1,0,0,1.67,intermittent lake,intermittent lake,сезонное озеро
Q10354598,21,21,0,100.0,0,0,0,,,,
Q10379048,1,0,1,0.0,0,0,0,1.0,health technology,health technology,санитарные технологии
Q104179424,3,0,3,0.0,3,3,1,8.0,national ice hockey team,national ice hockey team,национальная сборная по хоккею с шайбой
Q104666804,2,0,2,0.0,1,1,0,5.0,rail transport by country or region,rail transport by country or region,железнодорожный транспорт по стране или региону
Q1047180,1,1,0,100.0,0,0,0,,,,
Q1047879,1,1,0,100.0,0,0,0,,,,
Q1049757,3,3,0,100.0,0,0,0,,,,
Q10517054,2,1,1,50.0,0,0,0,1.0,handball team,handball team,гандбольная команда
Q105390172,1,0,1,0.0,1,1,1,15.0,Roman Catholic metropolitan archdiocese,Roman Catholic metropolitan archdiocese,римско-католическая митрополия-архиепископия
Q105543609,1,1,0,100.0,0,0,0,,,,
Q1057026,1,0,1,0.0,1,0,0,2.0,cargo airline,cargo airline,грузовая авиакомпания
Q105723968,1,1,0,100.0,0,0,0,,,,
Q105758208,1,1,0,100.0,0,0,0,,,,
Q105758271,1,0,1,0.0,1,1,1,13.0,multilateral development bank,multilateral development bank,многосторонний банк развития
Q105897950,1,0,1,0.0,1,1,1,12.0,agriculture by country or territory,agriculture by country or territory,сельское хозяйство на территории
Q105985,1,0,1,0.0,1,0,0,2.0,judiciary,Сот билігі,судебная власть
Q1060409,1,0,1,0.0,0,0,0,1.0,honor guard,honor guard,часовой
Q1060829,6,6,0,100.0,0,0,0,,,,
Q1061151,1,1,0,100.0,0,0,0,,,,
Q106123,1,0,1,0.0,1,1,1,18.0,international E-road network,international E-road network,европейский автомобильный маршрут
Q1061648,1,1,0,100.0,0,0,0,,,,
Q10624527,2,1,1,50.0,0,0,0,1.0,biographical museum,biographical museum,персональный музей
Q106317256,1,0,1,0.0,0,0,0,1.0,nuclear arsenal,nuclear arsenal,ядерный арсенал
Q106861159,1,0,1,0.0,1,0,0,4.0,national road cycling championships - ITT,national road cycling championships - ITT,Национальные чемпионаты по шоссейному велоспорту - индивидуальные гонки
Q1068842,1,1,0,100.0,0,0,0,,,,
Q106978510,1,0,1,0.0,1,0,0,2.0,international rail transit service,international rail transit service,international rail transit service
Q107099245,2,2,0,100.0,0,0,0,,,,
Q10713454,2,2,0,100.0,0,0,0,,,,
Q1072326,2,0,2,0.0,1,0,0,1.5,summit,Саммит,саммит
Q10729872,1,1,0,100.0,0,0,0,,,,
Q107357104,2,1,1,50.0,1,1,1,12.0,type of dance,type of dance,тип танца
Q107359024,1,0,1,0.0,0,0,0,1.0,class of election,class of election,тип выборов
Q107425,1,1,0,100.0,0,0,0,,,,
Q107637871,1,0,1,0.0,1,1,1,27.0,transboundary site,transboundary site,transboundary site
Q1076426,1,1,0,100.0,0,0,0,,,,
Q1076486,4,1,3,25.0,2,1,0,4.0,sports venue,спорт ғимараттары,спортивное сооружение
Q107679,2,0,2,0.0,0,0,0,1.0,cliff,Клиф,клиф
Q1078286,1,0,1,0.0,0,0,0,1.0,military band,military band,военный оркестр
Q1079023,2,2,0,100.0,0,0,0,,,,
Q1081138,3,1,2,33.33,1,0,0,2.5,historic site,historic site,памятник истории
Q108178728,1,1,0,100.0,0,0,0,,,,
Q10832530,1,1,0,100.0,0,0,0,,,,
Q108395614,2,1,1,50.0,0,0,0,1.0,volleyball club,volleyball club,волейбольный клуб
Q108436459,1,0,1,0.0,1,1,1,12.0,dance by ethnic group,dance by ethnic group,танец по этнической группе
Q10855061,1,1,0,100.0,0,0,0,,,,
Q10874184,2,0,2,0.0,2,0,0,3.0,China Railway train service,China Railway train service,China Railway train service
Q108788952,14,4,10,28.57,3,0,0,1.6,ethnic group by residency,ethnic group by residency,этническая группа на территории
Q108822533,2,0,2,0.0,2,1,0,4.0,border river,border river,пограничная река
Q1088552,1,0,1,0.0,0,0,0,1.0,Catholic church building,костел,костёл
Q109607,2,2,0,100.0,0,0,0,,,,
Q109623729,13,13,0,100.0,0,0,0,,,,
Q1097949,1,1,0,100.0,0,0,0,,,,
Q11032,25,10,15,40.0,1,0,0,1.07,newspaper,газет,газета
Q11033,2,0,2,0.0,0,0,0,1.0,mass media,бұқаралық ақпарат құралы,средство массовой информации
Q110548223,1,0,1,0.0,1,0,0,2.0,proposed legislation,proposed legislation,предлагаемый законодательный акт
Q110706912,1,1,0,100.0,0,0,0,,,,
Q11086064,3,0,3,0.0,2,2,2,7.33,total solar eclipse,total solar eclipse,полное солнечное затмение
Q1110684,1,1,0,100.0,0,0,0,,,,
Q11166728,1,1,0,100.0,0,0,0,,,,
Q11187131,10,0,10,0.0,10,0,0,3.0,2015 World Judo Championships,Дзюдодан әлем чемпионаты 2015,Чемпионат мира по дзюдо 2015
Q11197007,1,1,0,100.0,0,0,0,,,,
Q11204,3,3,0,100.0,0,0,0,,,,
Q112128334,70,66,4,94.29,3,1,0,3.25,protected area of Kazakhstan of republican significance,protected area of Kazakhstan of republican significance,особо охраняемая природная территория республиканского значения Казахстана
Q11223998,1,0,1,0.0,1,0,0,3.0,IJF World Tour,IJF World Tour,IJF World Tour
Q112537478,6,6,0,100.0,0,0,0,,,,
Q1128637,1,1,0,100.0,0,0,0,,,,
Q112876,1,0,1,0.0,0,0,0,1.0,pine barrens,Шоқ қарағай,бор
Q1129474,1,1,0,100.0,0,0,0,,,,
Q11303,2,1,1,50.0,1,0,0,3.0,skyscraper,Көктіреген,небоскрёб
Q113065939,1,0,1,0.0,1,0,0,3.0,Embassy of the United States,Embassy of the United States,посольство США
Q1131329,1,1,0,100.0,0,0,0,,,,
Q11315,10,2,8,20.0,3,0,0,1.62,shopping center,сауда орталығы,торговый центр
Q113254938,1,0,1,0.0,1,1,0,5.0,spacecraft fleet,spacecraft fleet,Космический флот
Q113455515,1,1,0,100.0,0,0,0,,,,
Q11362251,1,0,1,0.0,1,0,0,3.0,World Judo Cadets Championships,World Judo Cadets Championships,World Judo Cadets Championships
Q11362400,2,0,2,0.0,2,0,0,2.0,World Team Judo Championships,World Team Judo Championships,World Team Judo Championships
Q113681824,1,0,1,0.0,1,1,0,6.0,opencast mine,opencast mine,opencast mine
Q113988536,1,1,0,100.0,0,0,0,,,,
Q1140371,1,1,0,100.0,0,0,0,,,,
Q114055312,1,0,1,0.0,1,0,0,3.0,national baseball team,national baseball team,national baseball team
Q11410,2,2,0,100.0,0,0,0,,,,
Q1143635,1,1,0,100.0,0,0,0,,,,
Q11460,1,1,0,100.0,0,0,0,,,,
Q114609228,13,3,10,23.08,6,2,0,2.8,recurring sporting event edition,recurring sporting event edition,версия повторяющегося спортивного события
Q114782406,1,1,0,100.0,0,0,0,,,,
Q115135140,1,0,1,0.0,0,0,0,1.0,futsal competition,futsal competition,соревнование по футзалу
Q1153191,3,1,2,33.33,0,0,0,1.0,online newspaper,online newspaper,интернет-издание
Q115346835,3,1,2,33.33,2,2,2,45.5,temperate steppe,temperate steppe,temperate steppe
Q1154710,4,4,0,100.0,0,0,0,,,,
Q11572907,1,0,1,0.0,0,0,0,1.0,order of succession,order of succession,Престолонаследие
Q115839789,5,2,3,40.0,2,1,0,3.0,basketball club,basketball club,баскетбольный клуб
Q115857096,1,1,0,100.0,0,0,0,,,,
Q116597750,1,1,0,100.0,0,0,0,,,,
Q11670533,1,0,1,0.0,0,0,0,1.0,elevated station,elevated station,приподнятая станция
Q11691,2,2,0,100.0,0,0,0,,,,
Q116953048,1,0,1,0.0,0,0,0,1.0,beach soccer club,beach soccer club,пляжный футбольный клуб
Q11707,1,1,0,100.0,0,0,0,,,,
Q117086260,1,0,1,0.0,1,0,0,4.0,national field hockey team,national field hockey team,сборная по хоккею на траве
Q117103628,1,0,1,0.0,1,1,0,8.0,national water polo team,national water polo team,national water polo team
Q117819097,2,0,2,0.0,0,0,0,1.0,women's basketball club,women's basketball club,женский баскетбольный клуб
Q117819211,1,0,1,0.0,0,0,0,1.0,men's basketball club,men's basketball club,мужской баскетбольный клуб
Q117819338,2,1,1,50.0,0,0,0,1.0,women's volleyball club,women's volleyball club,женский волейбольный клуб
Q11783626,2,0,2,0.0,0,0,0,1.0,athletics meeting,athletics meeting,соревнование по лёгкой атлетике
Q11796413,2,2,0,100.0,0,0,0,,,,
Q1180262,1,1,0,100.0,0,0,0,,,,
Q11812394,11,10,1,90.91,0,0,0,1.0,theatre company,theatre company,театральная организация
Q1181413,3,2,1,66.67,0,0,0,1.0,palace of culture,palace of culture,дворец культуры
Q118188609,1,0,1,0.0,0,0,0,1.0,beach soccer competition,beach soccer competition,соревнование по пляжному футболу
Q11822917,1,1,0,100.0,0,0,0,,,,
Q11892333,1,0,1,0.0,1,0,0,2.0,freedom of speech by country,freedom of speech by country,freedom of speech by country
Q1190554,2,1,1,50.0,0,0,0,1.0,occurrence,occurrence,событие
Q1193236,1,0,1,0.0,1,1,1,14.0,news media,news media,новостные СМИ
Q119442487,1,0,1,0.0,1,0,0,2.0,Kazakhstan Future Series,Kazakhstan Future Series,Kazakhstan Future Series
Q1194951,5,0,5,0.0,3,0,0,1.6,national sports team,national sports team,сборная
Q1197685,8,7,1,87.5,1,0,0,4.0,public holiday,public holiday,государственный праздник
Q119942457,2,0,2,0.0,1,1,1,5.5,UCI Women's Continental Team,UCI Women's Continental Team,UCI Women's Continental Team
Q12018180,1,0,1,0.0,1,1,1,40.0,geomorphological system,geomorphological system,геоморфологическая система
Q12019965,2,2,0,100.0,0,0,0,,,,
Q12021235,2,2,0,100.0,0,0,0,,,,
Q12057459,1,1,0,100.0,0,0,0,,,,
Q12075102,1,1,0,100.0,0,0,0,,,,
Q12075477,1,1,0,100.0,0,0,0,,,,
Q120762068,1,0,1,0.0,0,0,0,1.0,Asian Road Cycling Championships - Women U23 ITT,Asian Road Cycling Championships - Women U23 ITT,Чемпионат Азии по шоссейному велоспорту - индивидуальная гонка (женщины U23)
Q12079191,10,10,0,100.0,0,0,0,,,,
Q12091026,1,0,1,0.0,0,0,0,1.0,coal deposit,coal deposit,угольное месторождение
Q12104567,2,2,0,100.0,0,0,0,,,,
Q121182,1,0,1,0.0,0,0,0,1.0,information system,Ақпарат жүйесі,информационная система
Q12132769,3,2,1,66.67,0,0,0,1.0,oil and gas field,oil and gas field,нефтегазовое месторождение
Q12132780,1,0,1,0.0,0,0,0,1.0,oil and gas bearing province,oil and gas bearing province,нефтегазоносная провинция
Q12134916,1,1,0,100.0,0,0,0,,,,
Q12137573,1,1,0,100.0,0,0,0,,,,
Q12139612,1,1,0,100.0,0,0,0,,,,
Q12140,1,1,0,100.0,0,0,0,,,,
Q12149173,4,4,0,100.0,0,0,0,,,,
Q121556053,1,0,1,0.0,0,0,0,1.0,wrestling competition,wrestling competition,соревнования по борьбе
Q12160242,1,1,0,100.0,0,0,0,,,,
Q12164334,1,0,1,0.0,1,1,0,6.0,professional holiday of Ukraine,professional holiday of Ukraine,профессиональный праздник на Украине
Q12174444,2,2,0,100.0,0,0,0,,,,
Q12184,1,1,0,100.0,0,0,0,,,,
Q122329178,1,1,0,100.0,0,0,0,,,,
Q12266391,4,4,0,100.0,0,0,0,,,,
Q12280,4,2,2,50.0,0,0,0,1.0,bridge,көпір,мост
Q12280169,1,0,1,0.0,1,0,0,2.0,animal husbandry of an area,animal husbandry of an area,животноводство на территории
Q12284,34,12,22,35.29,3,1,0,1.32,canal,канал,канал
Q12308941,1,0,1,0.0,0,0,0,1.0,male given name,ер адамның жеке есімі,мужское личное имя
Q12323,20,4,16,20.0,1,1,0,1.25,dam,бөгет,плотина
Q123237442,1,0,1,0.0,1,0,0,4.0,sex trafficking by country or territory,sex trafficking by country or territory,sex trafficking by country or territory
Q123237961,1,1,0,100.0,0,0,0,,,,
Q12332021,1,1,0,100.0,0,0,0,,,,
Q123480,1,1,0,100.0,0,0,0,,,,
Q12353044,1,1,0,100.0,0,0,0,,,,
Q12357832,19,14,5,73.68,1,0,0,1.4,second-level administrative division,second-level administrative division,административная единица второго уровня
Q12357920,18,13,5,72.22,1,0,0,1.2,third-level administrative division,third-level administrative division,административная единица третьего уровня
Q12367307,1,1,0,100.0,0,0,0,,,,
Q123705,46,31,15,67.39,9,1,0,2.47,neighborhood,neighborhood,нейборхуд
Q123991,3,2,1,66.67,1,0,0,2.0,steppe,Дала,степь
Q124098638,1,0,1,0.0,0,0,0,1.0,Roman Catholic ecclesiastical province,Roman Catholic ecclesiastical province,римско-католическая церковная провинция
Q1241288,1,1,0,100.0,0,0,0,,,,
Q12413618,6,5,1,83.33,1,0,0,2.0,international border,Мемлекеттік шекара,межгосударственная граница
Q124221947,4,0,4,0.0,4,3,0,6.0,One Earth Ecoregion,One Earth Ecoregion,One Earth Ecoregion
Q1244922,1,1,0,100.0,0,0,0,,,,
Q1245089,1,1,0,100.0,0,0,0,,,,
Q124556620,1,1,0,100.0,0,0,0,,,,
Q124714,123,13,110,10.57,0,0,0,1.0,spring,бұлақтар,родник
Q124734,6,4,2,66.67,2,0,0,2.0,rebellion,Көтеріліс,восстание
Q1248784,34,31,3,91.18,1,0,0,1.67,airport,әуежай,аэропорт
Q12518,4,3,1,75.0,0,0,0,1.0,tower,Мұнара,башня
Q12540664,1,1,0,100.0,0,0,0,,,,
Q12541085,1,1,0,100.0,0,0,0,,,,
Q1254874,1,1,0,100.0,0,0,0,,,,
Q1254933,3,1,2,33.33,2,2,0,6.5,astronomical observatory,astronomical observatory,астрономическая обсерватория
Q125505344,2,1,1,50.0,1,0,0,3.0,place designated by a field name,place designated by a field name,урочище
Q12552199,1,0,1,0.0,1,1,0,5.0,main gas pipeline,Магистральды газ құбыры,магистральный газопровод
Q125569386,1,0,1,0.0,0,0,0,1.0,university branch,university branch,филиал университета
Q125577386,1,1,0,100.0,0,0,0,,,,
Q12570,1,1,0,100.0,0,0,0,,,,
Q1262090,4,4,0,100.0,0,0,0,,,,
Q1262712,5,0,5,0.0,5,3,2,6.8,gas pipeline,Газжүргізгіш,газопровод
Q1268865,1,0,1,0.0,1,0,0,2.0,light rail,light rail,легкорельсовый транспорт
Q1269299,1,1,0,100.0,0,0,0,,,,
Q1269827,1,1,0,100.0,0,0,0,,,,
Q12737077,1,0,1,0.0,0,0,0,1.0,occupation,қызмет түрі,род занятий
Q12765911,1,1,0,100.0,0,0,0,,,,
Q12768272,1,0,1,0.0,0,0,0,1.0,Judaism of an area,Judaism of an area,иудаизм на территории
Q12806886,1,1,0,100.0,0,0,0,,,,
Q12830341,1,0,1,0.0,1,0,0,3.0,Eastern Orthodoxy of an area,Eastern Orthodoxy of an area,православие на территории
Q12830429,1,0,1,0.0,0,0,0,1.0,Protestantism of an area,Protestantism of an area,протестантизм на территории
Q12833777,1,1,0,100.0,0,0,0,,,,
Q128654790,2,0,2,0.0,2,1,1,7.0,ski jumping complex,ski jumping complex,комплекс лыжных трамплинов
Q1288568,13,11,2,84.62,2,2,2,30.5,modern language,modern language,живой язык
Q12897688,1,0,1,0.0,1,0,0,2.0,Jehovah's Witnesses of an area,Jehovah's Witnesses of an area,Свидетели Иеговы на территории
Q12909644,1,0,1,0.0,0,0,0,1.0,political ideology,саяси идеология,политическая идеология
Q1292279,1,0,1,0.0,1,0,0,2.0,political border,Мемлекеттік шекара,политическая граница
Q129268952,1,1,0,100.0,0,0,0,,,,
Q12932380,1,0,1,0.0,1,1,0,7.0,Hinduism of an area,Hinduism of an area,индуизм на территории
Q12933353,1,1,0,100.0,0,0,0,,,,
Q129675946,17,17,0,100.0,0,0,0,,,,
Q129725870,38,38,0,100.0,0,0,0,,,,
Q12973014,5,1,4,20.0,3,0,0,2.0,sports team,sports team,спортивная команда
Q129730229,36,35,1,97.22,0,0,0,1.0,akimat of city of regional significance,облыстық маңызы бар қалалардың әкімдігі,акимат города областного значения
Q129791543,5,5,0,100.0,0,0,0,,,,
Q129882775,43,43,0,100.0,0,0,0,,,,
Q129882905,75,75,0,100.0,0,0,0,,,,
Q130003,4,1,3,25.0,2,0,0,1.67,ski resort,ski resort,горнолыжный курорт
Q130108094,48,48,0,100.0,0,0,0,,,,
Q130212458,7741,6861,880,88.63,393,8,0,1.72,village of Kazakhstan,Қазақстан ауылы,село в Казахстане
Q13052937,1,0,1,0.0,1,0,0,4.0,Armenian Apostolic Church diocese,Armenian Apostolic Church diocese,епархия Армянской апостольской церкви
Q13065566,1,1,0,100.0,0,0,0,,,,
Q1306755,1,1,0,100.0,0,0,0,,,,
Q13073773,1,1,0,100.0,0,0,0,,,,
Q13107170,1,0,1,0.0,1,0,0,3.0,Dnepr radar,Dnepr radar,Днепр
Q1313096,2,2,0,100.0,0,0,0,,,,
Q131324128,2,2,0,100.0,0,0,0,,,,
Q131459694,26,12,14,46.15,0,0,0,1.0,association football season,association football season,розыгрыш футбольного турнира
Q131569,4,2,2,50.0,1,0,0,1.5,treaty,Халықаралық келiсiмдер,международный договор
Q131647,26,25,1,96.15,1,0,0,2.0,medal,медаль,медаль
Q131681,86,76,10,88.37,2,1,0,1.6,reservoir,су қоймасы,водохранилище
Q131734,1,0,1,0.0,0,0,0,1.0,brewery,brewery,пивоварня
Q1318941,1,0,1,0.0,1,1,1,10.0,stage race,stage race,многодневная велогонка
Q13197989,2,0,2,0.0,0,0,0,1.0,Sunni Islam of an area,Sunni Islam of an area,суннизм на территории
Q1322134,1,1,0,100.0,0,0,0,,,,
Q132241,3,1,2,33.33,1,0,0,1.5,festival,festival,фестиваль
Q13226383,4,3,1,75.0,0,0,0,1.0,facility,facility,площадка
Q132510,3,0,3,0.0,1,0,0,2.0,market,Базар,рынок
Q132834,5,3,2,60.0,0,0,0,1.0,madrasa,Медресе,медресе
Q1329623,1,0,1,0.0,0,0,0,1.0,cultural center,cultural center,культурный центр
Q133004,1,0,1,0.0,0,0,0,1.0,diaspora,Диаспора,диаспора
Q133056,94,16,78,17.02,2,0,0,1.04,mountain pass,асу,перевал
Q1331793,2,1,1,50.0,1,0,0,2.0,media company,media company,медиакомпания
Q133311,7,5,2,71.43,1,1,0,3.0,tribe,тайпа,племя
Q133346,5,5,0,100.0,0,0,0,,,,
Q1335652,1,0,1,0.0,0,0,0,1.0,airport railway station,airport railway station,железнодорожная станция при аэропорте
Q133744,1,0,1,0.0,1,0,0,3.0,tour operator,tour operator,туроператор
Q1339195,3,2,1,66.67,1,0,0,3.0,station building,station building,железнодорожный вокзал
Q13393265,10,3,7,30.0,4,2,0,2.71,basketball team,basketball team,баскетбольная команда
Q13406463,157,33,124,21.02,20,0,0,1.23,Wikimedia list article,Wikimedia list article,статья-список в проекте Викимедиа
Q13406554,25,6,19,24.0,9,2,0,2.05,sports competition,sports competition,спортивное соревнование
Q13406660,1,1,0,100.0,0,0,0,,,,
Q1341478,1,1,0,100.0,0,0,0,,,,
Q134161,1,1,0,100.0,0,0,0,,,,
Q134447,1,1,0,100.0,0,0,0,,,,
Q1345691,1,0,1,0.0,1,1,1,13.0,international financial institution,international financial institution,международная финансовая организация
Q1345712,1,1,0,100.0,0,0,0,,,,
Q1349255,8,4,4,50.0,2,0,0,1.5,natural gas field,Газ кені,месторождение природного газа
Q135207825,1,1,0,100.0,0,0,0,,,,
Q1353183,5,0,5,0.0,4,2,1,6.2,launch pad,launch pad,стартовый комплекс
Q135408445,1,1,0,100.0,0,0,0,,,,
Q135409346,1,1,0,100.0,0,0,0,,,,
Q135728374,1,1,0,100.0,0,0,0,,,,
Q135728463,1,1,0,100.0,0,0,0,,,,
Q135747756,1,1,0,100.0,0,0,0,,,,
Q135747780,1,0,1,0.0,1,1,1,12.0,women's national ice hockey team,women's national ice hockey team,women's national ice hockey team
Q1358919,1,0,1,0.0,0,0,0,1.0,bicycle-sharing system,bicycle-sharing system,велопрокат
Q1364157,10,9,1,90.0,0,0,0,1.0,philharmonic society,филармония,филармония
Q1364302,1,1,0,100.0,0,0,0,,,,
Q1365924,2,2,0,100.0,0,0,0,,,,
Q1366722,2,2,0,100.0,0,0,0,,,,
Q1368262,1,1,0,100.0,0,0,0,,,,
Q1370598,2,1,1,50.0,0,0,0,1.0,structure of worship,structure of worship,культовое сооружение
Q1371037,1,1,0,100.0,0,0,0,,,,
Q137186904,1,0,1,0.0,1,1,1,31.0,transcontinental region,transcontinental region,трансконтинентальный регион
Q137274086,2,2,0,100.0,0,0,0,,,,
Q137455956,1,0,1,0.0,1,0,0,2.0,Defunct episcopal conference,Defunct episcopal conference,Defunct episcopal conference
Q137794598,23,23,0,100.0,0,0,0,,,,
Q13785326,1,0,1,0.0,1,1,0,5.0,2014 Fed Cup,2014 Fed Cup,Кубок Федерации 2014
Q137871518,1,0,1,0.0,0,0,0,1.0,nation in the New Wave competition,nation in the New Wave competition,страна в конкурсе Новая волна
Q1378975,1,1,0,100.0,0,0,0,,,,
Q138775,1,1,0,100.0,0,0,0,,,,
Q138825,5,0,5,0.0,4,0,0,2.4,children's railway,Балалар темір жолы,детская железная дорога
Q139591396,1,1,0,100.0,0,0,0,,,,
Q1402443,1,1,0,100.0,0,0,0,,,,
Q1402592,5,3,2,60.0,1,0,0,2.5,island group,island group,группа островов
Q140360298,1,0,1,0.0,0,0,0,1.0,,,купеческая династия
Q140362944,1,1,0,100.0,0,0,0,,,,
Q140678780,10,0,10,0.0,1,0,0,1.1,chess tournament edition,chess tournament edition,сезон шахматного турнира
Q1406988,1,1,0,100.0,0,0,0,,,,
Q1407225,1,0,1,0.0,0,0,0,1.0,television award,television award,награда в области телевидения
Q140892892,1,1,0,100.0,0,0,0,,,,
Q1412205,1,1,0,100.0,0,0,0,,,,
Q1413677,1,1,0,100.0,0,0,0,,,,
Q1431554,2,0,2,0.0,2,2,2,13.0,apostolic administration,apostolic administration,апостольская администратура
Q1434274,7,4,3,57.14,3,0,0,3.33,agronym,agronym,урочище
Q14350,8,5,3,62.5,1,1,0,3.33,radio station,radio station,вещательная радиостанция
Q1437459,8,5,3,62.5,1,1,1,14.0,non-geologically related mountain range,non-geologically related mountain range,горы
Q1440300,1,1,0,100.0,0,0,0,,,,
Q1445650,7,4,3,57.14,2,1,0,3.33,holiday,мереке,праздник
Q1451906,1,0,1,0.0,0,0,0,1.0,women's organization,women's organization,женская организация
Q1454820,1,1,0,100.0,0,0,0,,,,
Q14659,6,1,5,16.67,1,0,0,1.2,coat of arms,Мемлекеттік герб (елтаңба),герб
Q146591,16,0,16,0.0,16,15,15,18.5,circle of latitude,circle of latitude,параллель
Q14660,1,0,1,0.0,1,0,0,2.0,flag,ту,флаг
Q14757767,4,0,4,0.0,2,0,0,1.5,fourth-level administrative division,fourth-level administrative division,административная единица четвёртого уровня
Q1478437,2,1,1,50.0,0,0,0,1.0,association football competition,association football competition,футбольный турнир
Q1478443,1,1,0,100.0,0,0,0,,,,
Q148319,1,1,0,100.0,0,0,0,,,,
Q14941854,1,1,0,100.0,0,0,0,,,,
Q149621,1,0,1,0.0,1,0,0,2.0,district,district,дистрикт
Q1496456,1,0,1,0.0,1,0,0,4.0,2013 Fed Cup,2013 Fed Cup,Кубок Федерации 2013
Q1497364,9,4,5,44.44,3,0,0,2.2,building complex,building complex,комплекс зданий
Q149918,3,2,1,66.67,1,1,0,7.0,communications satellite,Байланыс серігі,спутник связи
Q15043657,7,1,6,14.29,6,0,0,3.33,Tour of Almaty,Алматы Туры 2013,Тур Алматы
Q15072596,9,8,1,88.89,1,0,0,2.0,administrative territorial entity of Kazakhstan,Қазақстан әкімшілік бірліктері,административное деление Казахстана
Q150784,4,2,2,50.0,2,0,0,3.5,canyon,Каньон,каньон
Q15079663,1,1,0,100.0,0,0,0,,,,
Q15087423,1,1,0,100.0,0,0,0,,,,
Q1510380,1,0,1,0.0,1,0,0,3.0,grove,grove,роща
Q15104814,5,5,0,100.0,0,0,0,,,,
Q15104915,114,107,7,93.86,2,0,0,1.29,mineral deposit,Кенорын,месторождение полезных ископаемых
Q15135589,6,6,0,100.0,0,0,0,,,,
Q15141321,2,0,2,0.0,2,0,0,3.0,train service,train service,маршрут поезда
Q151885,1,1,0,100.0,0,0,0,,,,
Q1519799,2,2,0,100.0,0,0,0,,,,
Q15206795,1,1,0,100.0,0,0,0,,,,
Q15221623,169,149,20,88.17,1,0,0,1.05,bilateral relation,bilateral relation,двусторонние отношения
Q15229207,1,1,0,100.0,0,0,0,,,,
Q15238777,2,0,2,0.0,0,0,0,1.0,legislative term,legislative term,срок полномочий законодательного органа
Q15239622,1,0,1,0.0,1,1,1,10.0,disputed territory,даулы жер,оспариваемая территория
Q15243209,1,0,1,0.0,0,0,0,1.0,historic district,historic district,исторический район города
Q152559,1,1,0,100.0,0,0,0,,,,
Q15284636,1,0,1,0.0,0,0,0,1.0,presidential term,presidential term,президентский срок
Q1529128,1,1,0,100.0,0,0,0,,,,
Q1530022,1,0,1,0.0,0,0,0,1.0,religious organization,Діни бірлестіктер,религиозная организация
Q15324,1,1,0,100.0,0,0,0,,,,
Q153562,2,2,0,100.0,0,0,0,,,,
Q15410549,1,0,1,0.0,0,0,0,1.0,public association,Қоғамдық бірлестіктер,общественное объединение
Q1546073,1,1,0,100.0,0,0,0,,,,
Q1549591,18,18,0,100.0,0,0,0,,,,
Q1550182,1,0,1,0.0,0,0,0,1.0,mine railway,mine railway,Шахтный электровоз
Q1550225,1,1,0,100.0,0,0,0,,,,
Q155271,1,0,1,0.0,0,0,0,1.0,think tank,ғылыми орталық,аналитический центр
Q15617994,1,0,1,0.0,1,0,0,2.0,administrative territorial entity type,administrative territorial entity type,тип административно-территориальной единицы
Q15622363,1,1,0,100.0,0,0,0,,,,
Q15640053,5,0,5,0.0,5,3,0,4.6,tram system,tram system,трамвайная система
Q15642541,3,0,3,0.0,1,0,0,1.67,human-geographic territorial entity,human-geographic territorial entity,геополитическая область
Q15661340,4,4,0,100.0,0,0,0,,,,
Q157031,3,2,1,66.67,0,0,0,1.0,foundation,Айырбас,фонд
Q15711797,1,1,0,100.0,0,0,0,,,,
Q15720476,27,8,19,29.63,0,0,0,1.0,volleyball team,volleyball team,волейбольная команда
Q1572070,1,1,0,100.0,0,0,0,,,,
Q1572791,1,1,0,100.0,0,0,0,,,,
Q15813069,3,0,3,0.0,1,0,0,1.33,housing series,housing series,серия дома
Q15840617,1,1,0,100.0,0,0,0,,,,
Q158454,2,1,1,50.0,1,0,0,4.0,biosphere reserve,Адам және биосфера,биосферный заповедник ЮНЕСКО
Q1589009,1,1,0,100.0,0,0,0,,,,
Q15911314,2,1,1,50.0,0,0,0,1.0,association,association,ассоциация
Q15911738,14,5,9,35.71,3,0,0,1.56,hydroelectric power station,су электр станциясы,гидроэлектростанция
Q159313,3,1,2,33.33,0,0,0,1.0,urban agglomeration,urban agglomeration,городская агломерация
Q159334,1,1,0,100.0,0,0,0,,,,
Q1595639,2,1,1,50.0,0,0,0,1.0,local museum,local museum,краеведческий музей
Q159719,2,0,2,0.0,1,0,0,1.5,power station,электр стансасы,электростанция
