qid,p31
Q334,Q2264924
Q334,Q3624078
Q334,Q108178728
Q405,Q1086783
Q405,Q85793519
Q405,Q109645860
Q466,Q121182
Q466,Q65966993
Q525,Q5864
Q532,Q98966309
Q574,Q6256
Q574,Q112099
Q574,Q3624078
Q634,Q17444909
Q649,Q43263
Q649,Q174844
Q649,Q183342
Q649,Q1549591
Q649,Q4442912
Q649,Q7930989
Q649,Q51929311
Q678,Q6256
Q678,Q112099
Q678,Q918240
Q678,Q3624078
Q683,Q6256
Q683,Q112099
Q683,Q3624078
Q685,Q6256
Q685,Q112099
Q685,Q202686
Q685,Q3624078
Q685,Q11815167
Q686,Q6256
Q686,Q112099
Q686,Q3624078
Q686,Q11815167
Q691,Q6256
Q691,Q41614
Q691,Q112099
Q691,Q202686
Q691,Q3624078
Q691,Q11815167
Q697,Q6256
Q697,Q7270
Q697,Q112099
Q697,Q3624078
Q702,Q6256
Q702,Q112099
Q702,Q3624078
Q709,Q6256
Q709,Q112099
Q709,Q3624078
Q709,Q11815167
Q710,Q6256
Q710,Q112099
Q710,Q3624078
Q710,Q11815167
Q717,Q6256
Q717,Q3624078
Q734,Q6256
Q734,Q3624078
Q766,Q6256
Q766,Q112099
Q766,Q202686
Q766,Q918240
Q766,Q3624078
Q766,Q11815167
Q800,Q6256
Q800,Q3624078
Q804,Q6256
Q804,Q7270
Q804,Q3624078
Q811,Q6256
Q811,Q3624078
Q819,Q6256
Q819,Q123480
Q819,Q465613
Q819,Q849866
Q819,Q3624078
Q837,Q6256
Q837,Q82794
Q837,Q123480
Q837,Q842112
Q837,Q3624078
Q846,Q6256
Q846,Q189898
Q846,Q3624078
Q865,Q112099
Q865,Q3624078
Q865,Q5255892
Q916,Q6256
Q916,Q3624078
Q917,Q6256
Q917,Q123480
Q917,Q417175
Q917,Q1309121
Q917,Q3624078
Q929,Q6256
Q929,Q7270
Q929,Q123480
Q929,Q3624078
Q965,Q6256
Q965,Q123480
Q965,Q3624078
Q977,Q6256
Q977,Q3624078
Q1000,Q6256
Q1000,Q3624078
Q1005,Q6256
Q1005,Q3624078
Q1006,Q6256
Q1006,Q3624078
Q1007,Q6256
Q1007,Q3624078
Q1009,Q6256
Q1009,Q7270
Q1009,Q3624078
Q1013,Q6256
Q1013,Q123480
Q1013,Q171441
Q1013,Q417175
Q1013,Q3624078
Q1014,Q6256
Q1014,Q3624078
Q1029,Q6256
Q1029,Q7270
Q1029,Q3624078
Q1030,Q6256
Q1030,Q7270
Q1030,Q3624078
Q1037,Q6256
Q1037,Q7270
Q1037,Q3624078
